qi	z3,z4,z6,z7	rank	graph_sigma	n_classes	min_n_good	argmin_z2,z5,z8	n_fallback	n_unsaturated
6328	1,10,18,8	2	0	19683	255	25,17,9	0	0
6329	1,11,18,8	2	0	19683	253	9,23,22	0	0
6330	1,12,18,8	2	0	19683	255	20,14,14	0	0
6331	1,13,18,8	2	0	19683	266	3,1,0	0	0
6332	1,14,18,8	2	0	19683	258	15,10,18	0	0
6333	1,15,18,8	2	0	19683	258	4,22,21	0	0
6334	1,16,18,8	2	0	19683	258	4,2,23	0	0
6335	1,17,18,8	2	0	19683	256	14,10,12	0	0
6336	1,18,18,8	2	0	19683	253	15,26,8	0	0
6337	1,19,18,8	2	0	19683	253	7,18,13	0	0
6338	1,20,18,8	2	0	19683	253	6,13,25	0	0
6339	1,21,18,8	2	0	19683	255	12,17,21	0	0
6340	1,22,18,8	2	0	19683	252	19,2,23	0	0
6341	1,23,18,8	2	0	19683	255	1,18,2	0	0
6342	1,24,18,8	2	0	19683	256	4,2,19	0	0
6343	1,25,18,8	2	0	19683	255	8,15,22	0	0
6344	1,26,18,8	2	0	19683	253	8,14,14	0	0
6345	1,0,19,8	2	0	19683	254	1,10,23	0	0
6346	1,1,19,8	2	0	19683	255	6,22,1	0	0
6347	1,2,19,8	2	0	19683	256	13,5,3	0	0
6348	1,3,19,8	2	0	19683	252	11,4,22	0	0
6349	1,4,19,8	2	0	19683	252	15,9,12	0	0
6350	1,5,19,8	2	0	19683	258	9,0,24	0	0
6351	1,6,19,8	2	0	19683	255	23,6,5	0	0
6352	1,7,19,8	2	0	19683	259	4,26,26	0	0
6353	1,8,19,8	2	0	19683	255	10,21,11	0	0
6354	1,9,19,8	2	0	19683	253	16,15,5	0	0
6355	1,10,19,8	2	0	19683	255	2,2,1	0	0
6356	1,11,19,8	2	0	19683	253	20,1,11	0	0
6357	1,12,19,8	1	0	19683	78	0,20,14	0	0
6358	1,13,19,8	2	0	19683	255	17,12,11	0	0
6359	1,14,19,8	2	0	19683	256	11,12,13	0	0
6360	1,15,19,8	2	0	19683	258	22,0,23	0	0
6361	1,16,19,8	2	0	19683	258	3,0,17	0	0
6362	1,17,19,8	2	0	19683	253	7,11,4	0	0
6363	1,18,19,8	2	0	19683	253	7,13,15	0	0
6364	1,19,19,8	2	0	19683	253	7,25,20	0	0
6365	1,20,19,8	2	0	19683	252	13,16,16	0	0
6366	1,21,19,8	2	0	19683	259	25,14,18	0	0
6367	1,22,19,8	2	0	19683	253	1,3,1	0	0
6368	1,23,19,8	2	0	19683	259	12,19,6	0	0
6369	1,24,19,8	2	0	19683	247	6,0,5	0	0
6370	1,25,19,8	2	0	19683	255	18,5,5	0	0
6371	1,26,19,8	2	0	19683	256	15,22,9	0	0
6372	1,0,20,8	2	0	19683	253	6,9,5	0	0
6373	1,1,20,8	2	0	19683	258	19,10,13	0	0
6374	1,2,20,8	2	0	19683	255	12,3,23	0	0
6375	1,3,20,8	2	0	19683	259	18,1,11	0	0
6376	1,4,20,8	2	0	19683	255	8,24,26	0	0
6377	1,5,20,8	2	0	19683	255	14,24,4	0	0
6378	1,6,20,8	2	0	19683	253	10,1,17	0	0
6379	1,7,20,8	2	0	19683	258	24,12,4	0	0
6380	1,8,20,8	2	0	19683	253	22,11,14	0	0
6381	1,9,20,8	2	0	19683	253	5,8,6	0	0
6382	1,10,20,8	1	0	19683	256	2,0,18	0	0
6383	1,11,20,8	2	0	19683	256	4,10,17	0	0
6384	1,12,20,8	2	0	19683	256	24,21,5	0	0
