qi	z3,z4,z6,z7	rank	graph_sigma	n_classes	min_n_good	argmin_z2,z5,z8	n_fallback	n_unsaturated
0	1,0,0,0	1	1	19683	78	0,0,0	0	0
1	1,1,0,0	1	0	19683	256	3,16,3	0	0
2	1,2,0,0	1	0	19683	256	6,16,6	0	0
3	1,3,0,0	1	0	19683	256	1,20,16	0	0
4	1,4,0,0	1	0	19683	256	1,22,13	0	0
5	1,5,0,0	1	0	19683	256	1,25,9	0	0
6	1,6,0,0	1	0	19683	256	2,20,23	0	0
7	1,7,0,0	1	0	19683	256	2,25,18	0	0
8	1,8,0,0	1	0	19683	256	2,22,26	0	0
9	1,9,0,0	1	0	19683	256	3,5,1	0	0
10	1,10,0,0	1	0	19683	256	6,13,21	0	0
11	1,11,0,0	1	0	19683	256	9,12,5	0	0
12	1,12,0,0	1	0	19683	256	11,1,15	0	0
13	1,13,0,0	1	0	19683	256	5,4,1	0	0
14	1,14,0,0	1	0	19683	256	7,16,19	0	0
15	1,15,0,0	1	0	19683	256	11,5,25	0	0
16	1,16,0,0	1	0	19683	256	4,3,1	0	0
17	1,17,0,0	1	0	19683	256	8,9,24	0	0
18	1,18,0,0	1	0	19683	256	6,5,2	0	0
19	1,19,0,0	1	0	19683	256	18,12,7	0	0
20	1,20,0,0	1	0	19683	256	3,13,15	0	0
21	1,21,0,0	1	0	19683	256	19,5,14	0	0
22	1,22,0,0	1	0	19683	256	4,9,12	0	0
23	1,23,0,0	1	0	19683	256	8,3,2	0	0
24	1,24,0,0	1	0	19683	256	19,1,21	0	0
25	1,25,0,0	1	0	19683	256	5,16,11	0	0
26	1,26,0,0	1	0	19683	256	7,4,2	0	0
27	1,0,1,0	1	0	19683	256	3,12,12	0	0
28	1,1,1,0	2	0	19683	254	11,11,5	0	0
29	1,2,1,0	2	0	19683	269	9,14,20	0	0
30	1,3,1,0	2	0	19683	252	23,25,10	0	0
31	1,4,1,0	2	0	19683	252	26,20,17	0	0
32	1,5,1,0	2	0	19683	252	18,22,14	0	0
33	1,6,1,0	2	0	19683	255	11,10,17	0	0
34	1,7,1,0	2	0	19683	255	12,14,10	0	0
35	1,8,1,0	2	0	19683	255	15,17,14	0	0
36	1,9,1,0	2	0	19683	253	11,6,3	0	0
37	1,10,1,0	2	0	19683	255	19,21,13	0	0
38	1,11,1,0	2	0	19683	256	18,25,20	0	0
39	1,12,1,0	2	0	19683	256	26,22,25	0	0
40	1,13,1,0	2	0	19683	253	12,7,5	0	0
41	1,14,1,0	2	0	19683	255	24,19,16	0	0
42	1,15,1,0	2	0	19683	256	23,20,22	0	0
43	1,16,1,0	2	0	19683	253	15,8,4	0	0
44	1,17,1,0	2	0	19683	255	21,24,9	0	0
45	1,18,1,0	2	0	19683	259	21,23,25	0	0
46	1,19,1,0	2	0	19683	259	3,22,12	0	0
47	1,20,1,0	2	0	19683	254	9,20,7	0	0
48	1,21,1,0	2	0	19683	259	4,25,11	0	0
49	1,22,1,0	2	0	19683	254	12,16,7	0	0
50	1,23,1,0	2	0	19683	259	24,26,20	0	0
51	1,24,1,0	2	0	19683	259	5,20,15	0	0
52	1,25,1,0	2	0	19683	254	11,13,6	0	0
53	1,26,1,0	2	0	19683	259	19,18,22	0	0
54	1,0,2,0	1	0	19683	256	6,12,24	0	0
55	1,1,2,0	2	0	19683	269	9,5,14	0	0
56	1,2,2,0	2	0	19683	254	19,11,7	0	0
57	1,3,2,0	2	0	19683	255	19,10,22	0	0
58	1,4,2,0	2	0	19683	255	21,17,25	0	0
59	1,5,2,0	2	0	19683	255	24,14,20	0	0
60	1,6,2,0	2	0	19683	252	16,25,20	0	0
61	1,7,2,0	2	0	19683	252	9,22,25	0	0
62	1,8,2,0	2	0	19683	252	13,20,22	0	0
63	1,9,2,0	2	0	19683	259	15,23,14	0	0
64	1,10,2,0	2	0	19683	254	10,8,13	0	0
65	1,11,2,0	2	0	19683	259	6,22,24	0	0
66	1,12,2,0	2	0	19683	259	7,20,21	0	0
67	1,13,2,0	2	0	19683	259	11,18,17	0	0
68	1,14,2,0	2	0	19683	254	14,6,16	0	0
69	1,15,2,0	2	0	19683	259	8,25,19	0	0
70	1,16,2,0	2	0	19683	259	12,26,10	0	0
71	1,17,2,0	2	0	19683	254	17,7,9	0	0
72	1,18,2,0	2	0	19683	253	19,6,6	0	0
73	1,19,2,0	2	0	19683	256	9,25,10	0	0
74	1,20,2,0	2	0	19683	255	11,21,26	0	0
75	1,21,2,0	2	0	19683	256	16,20,17	0	0
76	1,22,2,0	2	0	19683	255	15,24,18	0	0
77	1,23,2,0	2	0	19683	253	21,8,8	0	0
78	1,24,2,0	2	0	19683	256	13,22,14	0	0
79	1,25,2,0	2	0	19683	255	12,19,23	0	0
80	1,26,2,0	2	0	19683	253	24,7,7	0	0
81	1,0,3,0	1	0	19683	256	1,9,4	0	0
82	1,1,3,0	2	0	19683	256	7,4,1	0	0
83	1,2,3,0	2	0	19683	259	1,1,4	0	0
84	1,3,3,0	2	0	19683	253	20,6,9	0	0
85	1,4,3,0	2	0	19683	254	4,15,14	0	0
86	1,5,3,0	2	0	19683	254	3,9,25	0	0
87	1,6,3,0	2	0	19683	259	8,14,12	0	0
88	1,7,3,0	2	0	19683	269	5,8,1	0	0
89	1,8,3,0	2	0	19683	255	10,24,11	0	0
90	1,9,3,0	2	0	19683	253	3,10,5	0	0
91	1,10,3,0	2	0	19683	259	13,4,15	0	0
92	1,11,3,0	2	0	19683	252	7,1,24	0	0
93	1,12,3,0	2	0	19683	254	3,25,7	0	0
94	1,13,3,0	2	0	19683	252	23,4,2	0	0
95	1,14,3,0	2	0	19683	255	6,7,20	0	0
96	1,15,3,0	2	0	19683	252	21,11,6	0	0
97	1,16,3,0	2	0	19683	256	21,1,12	0	0
98	1,17,3,0	2	0	19683	259	6,17,1	0	0
99	1,18,3,0	2	0	19683	259	10,21,3	0	0
100	1,19,3,0	2	0	19683	255	3,8,2	0	0
101	1,20,3,0	2	0	19683	256	23,11,3	0	0
102	1,21,3,0	2	0	19683	255	4,2,24	0	0
103	1,22,3,0	2	0	19683	253	4,23,25	0	0
104	1,23,3,0	2	0	19683	259	25,11,13	0	0
105	1,24,3,0	2	0	19683	255	8,18,22	0	0
106	1,25,3,0	2	0	19683	254	9,6,10	0	0
107	1,26,3,0	2	0	19683	255	20,19,6	0	0
108	1,0,4,0	1	0	19683	256	1,16,5	0	0
109	1,1,4,0	2	0	19683	256	6,5,1	0	0
110	1,2,4,0	2	0	19683	259	1,1,5	0	0
111	1,3,4,0	2	0	19683	254	4,16,20	0	0
112	1,4,4,0	2	0	19683	253	22,8,16	0	0
113	1,5,4,0	2	0	19683	254	3,15,6	0	0
114	1,6,4,0	2	0	19683	269	3,7,1	0	0
115	1,7,4,0	2	0	19683	255	17,19,15	0	0
116	1,8,4,0	2	0	19683	259	7,10,11	0	0
117	1,9,4,0	2	0	19683	252	26,5,2	0	0
118	1,10,4,0	2	0	19683	255	8,6,22	0	0
119	1,11,4,0	2	0	19683	254	4,20,6	0	0
120	1,12,4,0	2	0	19683	252	24,15,8	0	0
121	1,13,4,0	2	0	19683	256	24,1,11	0	0
122	1,14,4,0	2	0	19683	259	8,14,1	0	0
123	1,15,4,0	2	0	19683	252	6,1,19	0	0
124	1,16,4,0	2	0	19683	253	4,17,3	0	0
125	1,17,4,0	2	0	19683	259	9,5,12	0	0
126	1,18,4,0	2	0	19683	255	22,21,8	0	0
127	1,19,4,0	2	0	19683	255	7,23,25	0	0
128	1,20,4,0	2	0	19683	254	12,5,10	0	0
129	1,21,4,0	2	0	19683	255	4,7,2	0	0
130	1,22,4,0	2	0	19683	256	26,15,4	0	0
131	1,23,4,0	2	0	19683	259	17,24,4	0	0
132	1,24,4,0	2	0	19683	255	5,2,19	0	0
133	1,25,4,0	2	0	19683	253	5,26,20	0	0
134	1,26,4,0	2	0	19683	259	20,15,9	0	0
135	1,0,5,0	1	0	19683	256	1,13,3	0	0
136	1,1,5,0	2	0	19683	256	8,3,1	0	0
137	1,2,5,0	2	0	19683	259	1,1,3	0	0
138	1,3,5,0	2	0	19683	254	3,11,17	0	0
139	1,4,5,0	2	0	19683	254	3,15,13	0	0
140	1,5,5,0	2	0	19683	253	25,7,13	0	0
141	1,6,5,0	2	0	19683	255	14,21,12	0	0
142	1,7,5,0	2	0	19683	259	6,17,15	0	0
143	1,8,5,0	2	0	19683	269	4,6,1	0	0
144	1,9,5,0	2	0	19683	256	19,1,15	0	0
145	1,10,5,0	2	0	19683	259	7,10,1	0	0
146	1,11,5,0	2	0	19683	252	19,12,7	0	0
147	1,12,5,0	2	0	19683	252	8,1,21	0	0
148	1,13,5,0	2	0	19683	253	5,14,4	0	0
149	1,14,5,0	2	0	19683	259	16,3,11	0	0
150	1,15,5,0	2	0	19683	254	5,22,8	0	0
151	1,16,5,0	2	0	19683	252	18,3,2	0	0
152	1,17,5,0	2	0	19683	255	7,8,25	0	0
153	1,18,5,0	2	0	19683	259	22,12,16	0	0
154	1,19,5,0	2	0	19683	255	3,2,21	0	0
155	1,20,5,0	2	0	19683	253	3,18,22	0	0
156	1,21,5,0	2	0	19683	255	6,26,20	0	0
157	1,22,5,0	2	0	19683	254	11,3,17	0	0
158	1,23,5,0	2	0	19683	255	25,24,7	0	0
159	1,24,5,0	2	0	19683	255	5,6,2	0	0
160	1,25,5,0	2	0	19683	256	18,12,5	0	0
161	1,26,5,0	2	0	19683	259	14,19,5	0	0
162	1,0,6,0	1	0	19683	256	2,9,8	0	0
163	1,1,6,0	2	0	19683	259	2,1,8	0	0
164	1,2,6,0	2	0	19683	256	5,4,2	0	0
165	1,3,6,0	2	0	19683	259	4,14,24	0	0
166	1,4,6,0	2	0	19683	255	20,24,19	0	0
167	1,5,6,0	2	0	19683	269	5,20,24	0	0
168	1,6,6,0	2	0	19683	253	10,6,18	0	0
169	1,7,6,0	2	0	19683	254	6,9,14	0	0
170	1,8,6,0	2	0	19683	254	7,11,5	0	0
171	1,9,6,0	2	0	19683	259	20,21,6	0	0
172	1,10,6,0	2	0	19683	256	16,11,6	0	0
173	1,11,6,0	2	0	19683	255	6,8,1	0	0
174	1,12,6,0	2	0	19683	255	4,18,17	0	0
175	1,13,6,0	2	0	19683	255	10,19,3	0	0
176	1,14,6,0	2	0	19683	254	10,22,9	0	0
177	1,15,6,0	2	0	19683	255	8,2,12	0	0
178	1,16,6,0	2	0	19683	259	14,11,26	0	0
179	1,17,6,0	2	0	19683	253	8,23,14	0	0
180	1,18,6,0	2	0	19683	253	6,10,7	0	0
181	1,19,6,0	2	0	19683	252	5,1,12	0	0
182	1,20,6,0	2	0	19683	259	26,4,21	0	0
183	1,21,6,0	2	0	19683	252	15,11,3	0	0
184	1,22,6,0	2	0	19683	259	3,17,2	0	0
185	1,23,6,0	2	0	19683	256	15,1,24	0	0
186	1,24,6,0	2	0	19683	254	6,25,5	0	0
187	1,25,6,0	2	0	19683	255	3,7,10	0	0
188	1,26,6,0	2	0	19683	252	16,4,1	0	0
189	1,0,7,0	1	0	19683	256	2,13,6	0	0
190	1,1,7,0	2	0	19683	259	2,1,6	0	0
191	1,2,7,0	2	0	19683	256	4,3,2	0	0
192	1,3,7,0	2	0	19683	255	25,21,24	0	0
193	1,4,7,0	2	0	19683	269	4,25,21	0	0
194	1,5,7,0	2	0	19683	259	3,17,21	0	0
195	1,6,7,0	2	0	19683	254	6,11,22	0	0
196	1,7,7,0	2	0	19683	253	14,7,26	0	0
197	1,8,7,0	2	0	19683	254	6,15,26	0	0
198	1,9,7,0	2	0	19683	259	17,12,23	0	0
199	1,10,7,0	2	0	19683	253	6,18,17	0	0
200	1,11,7,0	2	0	19683	255	6,2,15	0	0
201	1,12,7,0	2	0	19683	255	7,6,1	0	0
202	1,13,7,0	2	0	19683	259	25,19,7	0	0
203	1,14,7,0	2	0	19683	256	9,12,7	0	0
204	1,15,7,0	2	0	19683	255	3,26,10	0	0
205	1,16,7,0	2	0	19683	255	14,24,5	0	0
206	1,17,7,0	2	0	19683	254	14,20,13	0	0
207	1,18,7,0	2	0	19683	256	11,1,21	0	0
208	1,19,7,0	2	0	19683	252	11,12,5	0	0
209	1,20,7,0	2	0	19683	259	5,10,2	0	0
210	1,21,7,0	2	0	19683	254	7,22,4	0	0
211	1,22,7,0	2	0	19683	255	5,8,14	0	0
212	1,23,7,0	2	0	19683	252	9,3,1	0	0
213	1,24,7,0	2	0	19683	252	4,1,15	0	0
214	1,25,7,0	2	0	19683	259	23,3,19	0	0
215	1,26,7,0	2	0	19683	253	7,14,8	0	0
216	1,0,8,0	1	0	19683	256	2,16,7	0	0
217	1,1,8,0	2	0	19683	259	2,1,7	0	0
218	1,2,8,0	2	0	19683	256	3,5,2	0	0
219	1,3,8,0	2	0	19683	269	3,22,19	0	0
220	1,4,8,0	2	0	19683	259	5,10,19	0	0
221	1,5,8,0	2	0	19683	255	22,19,21	0	0
222	1,6,8,0	2	0	19683	254	7,11,23	0	0
223	1,7,8,0	2	0	19683	254	6,15,3	0	0
224	1,8,8,0	2	0	19683	253	17,8,23	0	0
225	1,9,8,0	2	0	19683	255	17,21,4	0	0
226	1,10,8,0	2	0	19683	254	17,25,16	0	0
227	1,11,8,0	2	0	19683	255	5,23,14	0	0
228	1,12,8,0	2	0	19683	255	7,2,11	0	0
229	1,13,8,0	2	0	19683	259	10,15,18	0	0
230	1,14,8,0	2	0	19683	253	7,26,10	0	0
231	1,15,8,0	2	0	19683	255	8,7,1	0	0
232	1,16,8,0	2	0	19683	259	22,24,8	0	0
233	1,17,8,0	2	0	19683	256	13,15,8	0	0
234	1,18,8,0	2	0	19683	252	13,5,1	0	0
235	1,19,8,0	2	0	19683	254	8,20,3	0	0
236	1,20,8,0	2	0	19683	255	4,6,17	0	0
237	1,21,8,0	2	0	19683	252	3,1,11	0	0
238	1,22,8,0	2	0	19683	259	18,5,24	0	0
239	1,23,8,0	2	0	19683	253	8,17,6	0	0
240	1,24,8,0	2	0	19683	252	12,15,4	0	0
241	1,25,8,0	2	0	19683	259	4,14,2	0	0
242	1,26,8,0	2	0	19683	256	12,1,19	0	0
243	1,0,9,0	1	0	19683	256	5,3,4	0	0
244	1,1,9,0	2	0	19683	254	4,2,24	0	0
245	1,2,9,0	2	0	19683	255	14,14,12	0	0
246	1,3,9,0	2	0	19683	252	21,20,23	0	0
247	1,4,9,0	2	0	19683	254	3,20,2	0	0
248	1,5,9,0	2	0	19683	256	2,20,16	0	0
249	1,6,9,0	2	0	19683	255	11,24,14	0	0
250	1,7,9,0	2	0	19683	259	12,13,5	0	0
251	1,8,9,0	2	0	19683	255	26,6,3	0	0
252	1,9,9,0	2	0	19683	256	6,13,15	0	0
253	1,10,9,0	2	0	19683	255	13,10,23	0	0
254	1,11,9,0	2	0	19683	254	1,12,18	0	0
255	1,12,9,0	2	0	19683	256	21,12,25	0	0
256	1,13,9,0	2	0	19683	254	11,3,9	0	0
257	1,14,9,0	2	0	19683	259	26,8,16	0	0
258	1,15,9,0	2	0	19683	253	11,23,20	0	0
259	1,16,9,0	2	0	19683	252	6,12,14	0	0
260	1,17,9,0	2	0	19683	259	19,18,25	0	0
261	1,18,9,0	2	0	19683	259	22,12,22	0	0
262	1,19,9,0	2	0	19683	255	19,7,13	0	0
263	1,20,9,0	2	0	19683	252	2,13,21	0	0
264	1,21,9,0	2	0	19683	259	14,19,15	0	0
265	1,22,9,0	2	0	19683	253	13,2,9	0	0
266	1,23,9,0	2	0	19683	255	25,26,21	0	0
267	1,24,9,0	2	0	19683	259	5,20,4	0	0
268	1,25,9,0	2	0	19683	253	25,17,1	0	0
269	1,26,9,0	2	0	19683	269	1,10,16	0	0
270	1,0,10,0	1	0	19683	256	7,1,10	0	0
271	1,1,10,0	2	0	19683	259	15,23,24	0	0
272	1,2,10,0	2	0	19683	253	8,24,19	0	0
273	1,3,10,0	2	0	19683	255	15,2,18	0	0
274	1,4,10,0	2	0	19683	255	21,10,12	0	0
275	1,5,10,0	2	0	19683	259	4,14,8	0	0
276	1,6,10,0	2	0	19683	254	2,18,9	0	0
277	1,7,10,0	2	0	19683	253	26,18,21	0	0
278	1,8,10,0	2	0	19683	252	20,11,4	0	0
279	1,9,10,0	2	0	19683	255	13,17,6	0	0
280	1,10,10,0	2	0	19683	252	11,20,12	0	0
281	1,11,10,0	2	0	19683	259	13,8,14	0	0
282	1,12,10,0	2	0	19683	259	7,20,10	0	0
283	1,13,10,0	2	0	19683	255	4,26,17	0	0
284	1,14,10,0	2	0	19683	254	8,22,21	0	0
285	1,15,10,0	2	0	19683	255	8,19,4	0	0
286	1,16,10,0	2	0	19683	259	14,11,2	0	0
287	1,17,10,0	2	0	19683	256	22,11,8	0	0
288	1,18,10,0	2	0	19683	254	6,24,3	0	0
289	1,19,10,0	2	0	19683	253	21,21,26	0	0
290	1,20,10,0	2	0	19683	255	26,7,25	0	0
291	1,21,10,0	2	0	19683	252	22,5,25	0	0
292	1,22,10,0	2	0	19683	259	18,5,23	0	0
293	1,23,10,0	2	0	19683	256	20,20,24	0	0
294	1,24,10,0	2	0	19683	256	11,5,14	0	0
295	1,25,10,0	2	0	19683	269	10,10,24	0	0
296	1,26,10,0	2	0	19683	254	19,11,15	0	0
297	1,0,11,0	1	0	19683	256	11,25,16	0	0
298	1,1,11,0	2	0	19683	252	17,16,6	0	0
299	1,2,11,0	2	0	19683	255	1,18,18	0	0
300	1,3,11,0	2	0	19683	256	18,4,13	0	0
301	1,4,11,0	2	0	19683	256	17,9,9	0	0
302	1,5,11,0	2	0	19683	253	1,24,4	0	0
303	1,6,11,0	2	0	19683	259	11,9,16	0	0
304	1,7,11,0	2	0	19683	259	10,21,13	0	0
305	1,8,11,0	2	0	19683	259	15,16,22	0	0
306	1,9,11,0	2	0	19683	254	1,3,8	0	0
307	1,10,11,0	2	0	19683	259	13,4,12	0	0
308	1,11,11,0	2	0	19683	254	12,17,19	0	0
309	1,12,11,0	2	0	19683	254	1,11,15	0	0
310	1,13,11,0	2	0	19683	252	18,9,18	0	0
311	1,14,11,0	2	0	19683	255	16,23,6	0	0
312	1,15,11,0	2	0	19683	253	16,17,15	0	0
313	1,16,11,0	2	0	19683	253	20,7,20	0	0
314	1,17,11,0	2	0	19683	255	2,14,1	0	0
315	1,18,11,0	2	0	19683	255	23,19,5	0	0
316	1,19,11,0	2	0	19683	255	10,26,11	0	0
317	1,20,11,0	2	0	19683	256	6,16,3	0	0
318	1,21,11,0	2	0	19683	259	2,2,9	0	0
319	1,22,11,0	2	0	19683	254	3,9,21	0	0
320	1,23,11,0	2	0	19683	259	23,6,3	0	0
321	1,24,11,0	2	0	19683	269	3,23,3	0	0
322	1,25,11,0	2	0	19683	252	6,4,26	0	0
323	1,26,11,0	2	0	19683	255	20,8,26	0	0
324	1,0,12,0	1	0	19683	256	11,12,20	0	0
325	1,1,12,0	2	0	19683	252	10,9,7	0	0
326	1,2,12,0	2	0	19683	255	1,26,26	0	0
327	1,3,12,0	2	0	19683	256	10,13,13	0	0
328	1,4,12,0	2	0	19683	253	1,21,3	0	0
329	1,5,12,0	2	0	19683	256	26,3,16	0	0
330	1,6,12,0	2	0	19683	259	11,9,20	0	0
331	1,7,12,0	2	0	19683	259	12,13,9	0	0
332	1,8,12,0	2	0	19683	259	14,19,16	0	0
333	1,9,12,0	2	0	19683	253	25,8,25	0	0
334	1,10,12,0	2	0	19683	255	2,17,1	0	0
335	1,11,12,0	2	0	19683	253	9,10,11	0	0
336	1,12,12,0	2	0	19683	254	9,11,19	0	0
337	1,13,12,0	2	0	19683	254	1,5,6	0	0
338	1,14,12,0	2	0	19683	259	16,3,15	0	0
339	1,15,12,0	2	0	19683	254	1,12,11	0	0
340	1,16,12,0	2	0	19683	252	26,13,26	0	0
341	1,17,12,0	2	0	19683	255	9,18,7	0	0
342	1,18,12,0	2	0	19683	259	18,7,5	0	0
343	1,19,12,0	2	0	19683	259	2,2,13	0	0
344	1,20,12,0	2	0	19683	254	3,8,2	0	0
345	1,21,12,0	2	0	19683	269	5,18,5	0	0
346	1,22,12,0	2	0	19683	252	7,3,23	0	0
347	1,23,12,0	2	0	19683	255	25,6,23	0	0
348	1,24,12,0	2	0	19683	255	14,23,12	0	0
349	1,25,12,0	2	0	19683	256	7,9,5	0	0
350	1,26,12,0	2	0	19683	255	18,24,4	0	0
351	1,0,13,0	1	0	19683	256	4,5,3	0	0
352	1,1,13,0	2	0	19683	254	3,2,21	0	0
353	1,2,13,0	2	0	19683	255	17,17,15	0	0
354	1,3,13,0	2	0	19683	254	5,25,2	0	0
355	1,4,13,0	2	0	19683	256	2,25,9	0	0
356	1,5,13,0	2	0	19683	252	19,25,18	0	0
357	1,6,13,0	2	0	19683	255	23,7,5	0	0
358	1,7,13,0	2	0	19683	255	12,21,17	0	0
359	1,8,13,0	2	0	19683	259	15,16,4	0	0
360	1,9,13,0	2	0	19683	252	7,15,17	0	0
361	1,10,13,0	2	0	19683	259	24,26,22	0	0
362	1,11,13,0	2	0	19683	253	12,18,25	0	0
363	1,12,13,0	2	0	19683	254	1,15,26	0	0
364	1,13,13,0	2	0	19683	256	7,16,11	0	0
365	1,14,13,0	2	0	19683	255	16,14,18	0	0
366	1,15,13,0	2	0	19683	256	19,15,22	0	0
367	1,16,13,0	2	0	19683	254	12,5,13	0	0
368	1,17,13,0	2	0	19683	259	23,6,9	0	0
369	1,18,13,0	2	0	19683	255	22,23,19	0	0
370	1,19,13,0	2	0	19683	259	17,24,11	0	0
371	1,20,13,0	2	0	19683	253	16,2,13	0	0
372	1,21,13,0	2	0	19683	259	4,25,3	0	0
373	1,22,13,0	2	0	19683	253	22,10,1	0	0
374	1,23,13,0	2	0	19683	269	1,14,9	0	0
375	1,24,13,0	2	0	19683	255	24,8,16	0	0
376	1,25,13,0	2	0	19683	252	2,16,19	0	0
377	1,26,13,0	2	0	19683	259	20,15,20	0	0
378	1,0,14,0	1	0	19683	256	8,1,14	0	0
379	1,1,14,0	2	0	19683	259	11,18,21	0	0
380	1,2,14,0	2	0	19683	253	6,21,24	0	0
381	1,3,14,0	2	0	19683	255	19,14,15	0	0
382	1,4,14,0	2	0	19683	259	3,17,6	0	0
383	1,5,14,0	2	0	19683	255	11,2,26	0	0
384	1,6,14,0	2	0	19683	252	25,12,3	0	0
385	1,7,14,0	2	0	19683	254	2,26,13	0	0
386	1,8,14,0	2	0	19683	253	23,26,19	0	0
387	1,9,14,0	2	0	19683	259	17,12,2	0	0
388	1,10,14,0	2	0	19683	256	20,12,6	0	0
389	1,11,14,0	2	0	19683	255	6,24,3	0	0
390	1,12,14,0	2	0	19683	259	16,6,17	0	0
391	1,13,14,0	2	0	19683	255	16,10,7	0	0
392	1,14,14,0	2	0	19683	252	12,25,15	0	0
393	1,15,14,0	2	0	19683	259	8,25,14	0	0
394	1,16,14,0	2	0	19683	255	3,23,10	0	0
395	1,17,14,0	2	0	19683	254	6,20,19	0	0
396	1,18,14,0	2	0	19683	256	25,25,21	0	0
397	1,19,14,0	2	0	19683	252	20,4,22	0	0
398	1,20,14,0	2	0	19683	259	26,4,18	0	0
399	1,21,14,0	2	0	19683	256	12,4,17	0	0
400	1,22,14,0	2	0	19683	269	10,24,6	0	0
401	1,23,14,0	2	0	19683	254	19,22,16	0	0
402	1,24,14,0	2	0	19683	253	19,19,23	0	0
403	1,25,14,0	2	0	19683	255	23,8,22	0	0
404	1,26,14,0	2	0	19683	254	6,3,12	0	0
405	1,0,15,0	1	0	19683	256	9,9,11	0	0
406	1,1,15,0	2	0	19683	252	14,13,8	0	0
407	1,2,15,0	2	0	19683	255	1,23,23	0	0
408	1,3,15,0	2	0	19683	253	1,19,5	0	0
409	1,4,15,0	2	0	19683	256	23,5,9	0	0
410	1,5,15,0	2	0	19683	256	14,16,16	0	0
411	1,6,15,0	2	0	19683	259	17,24,9	0	0
412	1,7,15,0	2	0	19683	259	12,13,25	0	0
413	1,8,15,0	2	0	19683	259	15,16,13	0	0
414	1,9,15,0	2	0	19683	252	23,16,23	0	0
415	1,10,15,0	2	0	19683	255	13,26,8	0	0
416	1,11,15,0	2	0	19683	254	1,15,12	0	0
417	1,12,15,0	2	0	19683	253	13,14,12	0	0
418	1,13,15,0	2	0	19683	253	22,6,22	0	0
419	1,14,15,0	2	0	19683	255	2,10,1	0	0
420	1,15,15,0	2	0	19683	254	11,14,21	0	0
421	1,16,15,0	2	0	19683	254	1,4,7	0	0
422	1,17,15,0	2	0	19683	259	9,5,11	0	0
423	1,18,15,0	2	0	19683	255	22,7,18	0	0
424	1,19,15,0	2	0	19683	269	4,26,4	0	0
425	1,20,15,0	2	0	19683	252	8,5,18	0	0
426	1,21,15,0	2	0	19683	255	17,18,15	0	0
427	1,22,15,0	2	0	19683	256	8,13,4	0	0
428	1,23,15,0	2	0	19683	255	26,21,3	0	0
429	1,24,15,0	2	0	19683	259	2,2,16	0	0
430	1,25,15,0	2	0	19683	254	4,16,24	0	0
431	1,26,15,0	2	0	19683	259	26,8,4	0	0
432	1,0,16,0	1	0	19683	256	3,4,5	0	0
433	1,1,16,0	2	0	19683	254	5,2,19	0	0
434	1,2,16,0	2	0	19683	255	10,10,11	0	0
435	1,3,16,0	2	0	19683	256	2,22,13	0	0
436	1,4,16,0	2	0	19683	252	24,22,26	0	0
437	1,5,16,0	2	0	19683	254	4,22,2	0	0
438	1,6,16,0	2	0	19683	259	11,9,3	0	0
439	1,7,16,0	2	0	19683	255	18,8,4	0	0
440	1,8,16,0	2	0	19683	255	15,19,10	0	0
441	1,9,16,0	2	0	19683	254	9,20,1	0	0
442	1,10,16,0	2	0	19683	259	18,7,13	0	0
443	1,11,16,0	2	0	19683	256	24,11,20	0	0
444	1,12,16,0	2	0	19683	253	15,26,22	0	0
445	1,13,16,0	2	0	19683	252	8,11,10	0	0
446	1,14,16,0	2	0	19683	259	21,23,20	0	0
447	1,15,16,0	2	0	19683	254	1,11,23	0	0
448	1,16,16,0	2	0	19683	256	8,9,12	0	0
449	1,17,16,0	2	0	19683	255	9,17,26	0	0
450	1,18,16,0	2	0	19683	269	1,17,13	0	0
451	1,19,16,0	2	0	19683	259	3,22,5	0	0
452	1,20,16,0	2	0	19683	253	20,14,1	0	0
453	1,21,16,0	2	0	19683	255	21,6,9	0	0
454	1,22,16,0	2	0	19683	252	2,9,24	0	0
455	1,23,16,0	2	0	19683	259	25,11,25	0	0
456	1,24,16,0	2	0	19683	259	10,21,12	0	0
457	1,25,16,0	2	0	19683	253	9,2,16	0	0
458	1,26,16,0	2	0	19683	255	20,18,24	0	0
459	1,0,17,0	1	0	19683	256	6,1,17	0	0
460	1,1,17,0	2	0	19683	259	12,26,19	0	0
461	1,2,17,0	2	0	19683	253	7,19,21	0	0
462	1,3,17,0	2	0	19683	259	5,10,7	0	0
463	1,4,17,0	2	0	19683	255	12,2,23	0	0
464	1,5,17,0	2	0	19683	255	24,17,11	0	0
465	1,6,17,0	2	0	19683	253	18,23,24	0	0
466	1,7,17,0	2	0	19683	252	22,15,5	0	0
467	1,8,17,0	2	0	19683	254	2,23,16	0	0
468	1,9,17,0	2	0	19683	255	5,18,14	0	0
469	1,10,17,0	2	0	19683	254	7,25,24	0	0
470	1,11,17,0	2	0	19683	259	6,22,17	0	0
471	1,12,17,0	2	0	19683	255	7,21,5	0	0
472	1,13,17,0	2	0	19683	259	10,15,2	0	0
473	1,14,17,0	2	0	19683	256	25,15,7	0	0
474	1,15,17,0	2	0	19683	259	9,7,10	0	0
475	1,16,17,0	2	0	19683	255	9,14,8	0	0
476	1,17,17,0	2	0	19683	252	15,22,11	0	0
477	1,18,17,0	2	0	19683	254	19,24,25	0	0
478	1,19,17,0	2	0	19683	256	15,3,10	0	0
479	1,20,17,0	2	0	19683	269	14,21,7	0	0
