cand_idx	dir_d	line_q	x1	x2	x3	lambda_label	y1	y2	collision_type	n_colliding_roots
358	5	24	2	6	4	1	9	12	offline_retained	1
360	5	9	9	14	16	l3	15	21	offline_retained	1
363	5	9	9	14	16	l1	15	23	offline_retained	1
365	5	9	14	16	9	l1	9	10	third_point_x3	1
370	5	9	9	16	14	1	8	17	offline_retained	1
371	5	9	14	16	9	1	12	22	offline_retained	1
377	5	21	12	17	10	l1	13	26	offline_retained	1
378	5	21	10	12	17	l2	1	17	third_point_x3	1
380	5	21	12	17	10	l2	20	26	offline_retained	1
381	5	21	10	12	17	1	6	8	offline_retained	1
382	5	21	10	17	12	1	3	25	offline_retained	1
386	5	6	13	15	11	l3	5	17	offline_retained	1
387	5	6	11	13	15	l1	5	6	offline_retained	1
391	5	6	11	15	13	l2	5	18	offline_retained	1
397	5	18	18	25	23	l3	15	21	offline_retained	1
400	5	18	18	25	23	l1	16	21	offline_retained	1
401	5	18	23	25	18	l1	18	20	third_point_x3	1
405	5	18	18	23	25	1	4	22	offline_retained	1
407	5	18	23	25	18	1	17	24	offline_retained	1
410	5	3	21	26	19	l3	7	22	offline_retained	1
412	5	3	19	26	21	l1	3	7	offline_retained	1
414	5	3	19	21	26	l2	7	9	offline_retained	1
425	5	15	22	24	20	l1	13	26	offline_retained	1
427	5	15	20	24	22	l2	2	22	third_point_x3	1
428	5	15	22	24	20	l2	10	13	offline_retained	1
429	5	15	20	22	24	1	6	14	offline_retained	1
430	5	15	20	24	22	1	3	4	offline_retained	1
444	9	14	1	10	19	l1	8	11	offline_retained	1
445	9	14	1	19	10	l1	3	10	third_point_x3	1
451	9	14	1	19	10	1	21	24	offline_retained	1
452	9	14	10	19	1	1	5	12	offline_retained	1
453	9	14	1	10	19	l3	4	8	offline_retained	1
456	9	25	2	11	20	l1	6	20	third_point_x3	1
457	9	25	2	20	11	l1	4	19	offline_retained	1
462	9	25	2	11	20	1	12	15	offline_retained	1
464	9	25	11	20	2	1	7	24	offline_retained	1
466	9	25	2	20	11	l3	4	8	offline_retained	1
470	9	9	12	21	3	l1	17	22	offline_retained	1
472	9	9	3	21	12	l2	12	23	third_point_x3	1
473	9	9	12	21	3	l2	6	22	offline_retained	1
474	9	9	3	12	21	1	2	14	offline_retained	1
475	9	9	3	21	12	1	5	25	offline_retained	1
