stratum	metric	value	count
rank1-graph	n_good	406	156
rank1-graph	n_good	407	468
rank1-graph	n_good	408	390
rank1-graph	n_good	409	234
rank1-graph	n_good	411	78
rank1-graph	n_good	412	78
rank1-graph	n_good	413	156
rank1-graph	n_good	414	78
rank1-graph	n_good	417	91
rank1-graph	n_good	419	156
rank1-graph	n_good	420	78
rank1-graph	n_good	429	78
rank1-graph	n_good	432	26
rank1-graph	n_good	433	78
rank1-graph	n_good	450	26
rank1-graph	n_good	1104	117
rank1-graph	n_good	1300	378
rank1-graph	n_good	1404	234
rank1-graph	n_nonsingular	1104	117
rank1-graph	n_nonsingular	1261	2106
rank1-graph	n_nonsingular	1293	2808
rank1-graph	n_nonsingular	1294	2106
rank1-graph	n_nonsingular	1297	2106
rank1-graph	n_nonsingular	1300	378
rank1-graph	n_nonsingular	1301	2106
rank1-graph	n_nonsingular	1302	26
rank1-graph	n_nonsingular	1304	2106
rank1-graph	n_nonsingular	1306	702
rank1-graph	n_nonsingular	1308	702
rank1-graph	n_nonsingular	1310	78
rank1-graph	n_nonsingular	1316	26
rank1-graph	n_nonsingular	1320	78
rank1-graph	n_nonsingular	1326	1
rank1-graph	n_nonsingular	1328	156
rank1-graph	n_nonsingular	1329	156
rank1-graph	n_nonsingular	1330	78
rank1-graph	n_nonsingular	1331	468
rank1-graph	n_nonsingular	1332	2106
rank1-graph	n_nonsingular	1333	2574
rank1-graph	n_nonsingular	1334	845
rank1-graph	n_nonsingular	1335	1040
rank1-graph	n_nonsingular	1336	1404
rank1-graph	n_nonsingular	1337	1794
rank1-graph	n_nonsingular	1338	2964
rank1-graph	n_nonsingular	1339	3666
rank1-graph	n_nonsingular	1340	3666
rank1-graph	n_nonsingular	1341	5408
rank1-graph	n_nonsingular	1342	7644
rank1-graph	n_nonsingular	1343	7410
rank1-graph	n_nonsingular	1344	8996
rank1-graph	n_nonsingular	1345	13416
rank1-graph	n_nonsingular	1346	15158
rank1-graph	n_nonsingular	1347	18824
rank1-graph	n_nonsingular	1348	21294
rank1-graph	n_nonsingular	1349	22152
rank1-graph	n_nonsingular	1350	22191
rank1-graph	n_nonsingular	1351	28158
rank1-graph	n_nonsingular	1352	25870
rank1-graph	n_nonsingular	1353	29848
rank1-graph	n_nonsingular	1354	29562
rank1-graph	n_nonsingular	1355	31668
rank1-graph	n_nonsingular	1356	30238
rank1-graph	n_nonsingular	1357	30030
rank1-graph	n_nonsingular	1358	30108
rank1-graph	n_nonsingular	1359	25428
rank1-graph	n_nonsingular	1360	20436
rank1-graph	n_nonsingular	1361	19318
rank1-graph	n_nonsingular	1362	16380
rank1-graph	n_nonsingular	1363	14040
rank1-graph	n_nonsingular	1364	11960
rank1-graph	n_nonsingular	1365	7046
rank1-graph	n_nonsingular	1366	6474
rank1-graph	n_nonsingular	1367	5304
rank1-graph	n_nonsingular	1368	3536
rank1-graph	n_nonsingular	1369	2652
rank1-graph	n_nonsingular	1370	1664
rank1-graph	n_nonsingular	1371	1248
rank1-graph	n_nonsingular	1372	468
rank1-graph	n_nonsingular	1373	234
rank1-graph	n_nonsingular	1374	260
rank1-graph	n_nonsingular	1376	78
rank1-graph	n_nonsingular	1377	26
rank1-graph	n_nonsingular	1404	234
rank1-graph	n_split_distinct	529	78
rank1-graph	n_split_distinct	541	78
rank1-graph	n_split_distinct	542	78
rank1-graph	n_split_distinct	543	2106
rank1-graph	n_split_distinct	544	26
rank1-graph	n_split_distinct	545	78
rank1-graph	n_split_distinct	546	1
rank1-graph	n_split_distinct	549	78
rank1-graph	n_split_distinct	550	78
rank1-graph	n_split_distinct	551	2106
rank1-graph	n_split_distinct	552	156
rank1-graph	n_split_distinct	554	78
rank1-graph	n_split_distinct	556	78
rank1-graph	n_split_distinct	557	78
rank1-graph	n_split_distinct	558	78
rank1-graph	n_split_distinct	559	156
rank1-graph	n_split_distinct	560	78
rank1-graph	n_split_distinct	561	156
rank1-graph	n_split_distinct	562	78
rank1-graph	n_split_distinct	563	2184
rank1-graph	n_split_distinct	564	78
rank1-graph	n_split_distinct	565	234
rank1-graph	n_split_distinct	566	156
rank1-graph	n_split_distinct	567	312
rank1-graph	n_split_distinct	568	156
rank1-graph	n_split_distinct	569	2574
rank1-graph	n_split_distinct	570	962
rank1-graph	n_split_distinct	571	390
rank1-graph	n_split_distinct	572	858
rank1-graph	n_split_distinct	573	572
rank1-graph	n_split_distinct	574	390
rank1-graph	n_split_distinct	575	390
rank1-graph	n_split_distinct	576	624
rank1-graph	n_split_distinct	577	3276
rank1-graph	n_split_distinct	578	468
rank1-graph	n_split_distinct	579	1170
rank1-graph	n_split_distinct	580	1092
rank1-graph	n_split_distinct	581	546
rank1-graph	n_split_distinct	582	1170
rank1-graph	n_split_distinct	583	1248
rank1-graph	n_split_distinct	584	1248
rank1-graph	n_split_distinct	585	1300
rank1-graph	n_split_distinct	586	1872
rank1-graph	n_split_distinct	587	1092
rank1-graph	n_split_distinct	588	2028
rank1-graph	n_split_distinct	589	2678
rank1-graph	n_split_distinct	590	4602
rank1-graph	n_split_distinct	591	4914
rank1-graph	n_split_distinct	592	4212
rank1-graph	n_split_distinct	593	1794
rank1-graph	n_split_distinct	594	2756
rank1-graph	n_split_distinct	595	5070
rank1-graph	n_split_distinct	596	3510
rank1-graph	n_split_distinct	597	4628
rank1-graph	n_split_distinct	598	4472
rank1-graph	n_split_distinct	599	4680
rank1-graph	n_split_distinct	600	4758
rank1-graph	n_split_distinct	601	4914
rank1-graph	n_split_distinct	602	5382
rank1-graph	n_split_distinct	603	5096
rank1-graph	n_split_distinct	604	5460
rank1-graph	n_split_distinct	605	6240
rank1-graph	n_split_distinct	606	6318
rank1-graph	n_split_distinct	607	4914
rank1-graph	n_split_distinct	608	6864
