cand_idx	dir_d	line_q	line_points	x1	x2	x3	kappa	lambda	lambda_label	plane_points	y1	y2	nine_set	torus_orbit_id	torus_orbit_size
1229	16	6	3,10,26	10	26	3	9	13	l2	0,3,6,10,13,16,20,23,26	5	8	0,3,5,6,8,13,16,20,23	0	26
1242	16	16	4,11,24	4	11	24	11	9	l1	0,4,8,11,12,16,19,23,24	15	18	0,8,12,15,16,18,19,23,24	2	26
1265	16	3	6,13,20	13	20	6	9	13	l2	0,3,6,10,13,16,20,23,26	4	7	0,3,4,6,7,10,16,23,26	0	26
1291	16	23	8,12,19	8	19	12	11	9	l1	0,4,8,11,12,16,19,23,24	9	21	0,4,9,11,12,16,21,23,24	2	26
1308	17	4	1,15,23	1	15	23	16	13	l2	0,1,2,15,16,17,21,22,23	6	20	0,2,6,16,17,20,21,22,23	0	26
1321	17	8	2,16,21	2	21	16	16	13	l2	0,1,2,15,16,17,21,22,23	3	10	0,1,3,10,15,16,17,22,23	0	26
1350	17	15	4,9,26	4	9	26	25	16	l3	0,4,8,9,13,17,18,22,26	15	19	0,8,13,15,17,18,19,22,26	1	26
1367	17	10	5,10,24	10	24	5	4	9	l1	0,5,7,10,12,17,20,22,24	18	25	0,5,7,12,17,18,20,22,25	2	26
1391	17	20	7,12,20	12	20	7	4	9	l1	0,5,7,10,12,17,20,22,24	9	14	0,5,7,9,10,14,17,22,24	2	26
1399	17	21	8,13,18	8	18	13	25	16	l3	0,4,8,9,13,17,18,22,26	11	21	0,4,9,11,13,17,21,22,26	1	26
