z2,z3,z4,z5,z6,z7,z8	cand_idx	nine_set
12,1,5,18,22,25,14	4	1,9,10,11,15,17,18,19,20
12,1,6,22,8,18,12	6	0,2,12,13,14,17,24,25,26
12,1,22,20,18,8,1	4	0,1,4,9,10,11,18,19,20
12,1,24,11,22,23,14	2	0,3,4,5,6,7,8,10,26
13,1,0,23,24,7,8	2	0,3,4,5,6,7,8,10,21
13,1,4,20,8,23,4	8	0,4,9,12,13,14,24,25,26
13,1,6,21,9,16,13	0	1,2,3,4,5,6,7,8,10
13,1,7,12,5,11,24	1	1,3,4,5,6,7,8,19,21
13,1,8,24,5,3,14	2	0,3,4,5,6,7,8,13,14
13,1,11,18,12,11,23	1	1,3,4,5,6,7,8,11,26
13,1,16,15,5,8,16	0	2,3,4,5,6,7,8,17,23
13,1,18,3,22,8,3	3	2,6,9,10,11,17,18,19,20
13,1,18,10,20,18,9	1	1,3,4,5,6,7,8,19,22
13,1,22,14,5,10,11	2	0,3,4,5,6,7,8,11,26
14,1,1,19,18,15,14	17	3,12,13,14,17,21,22,23,25
14,1,2,14,19,12,10	1	1,3,4,5,6,7,8,16,26
14,1,3,14,2,16,13	0	2,3,4,5,6,7,8,15,21
14,1,5,25,22,12,2	3	2,9,10,11,13,18,19,20,25
14,1,13,0,17,20,18	0	2,3,4,5,6,7,8,13,22
14,1,19,0,15,0,7	7	1,3,12,13,14,23,24,25,26
14,1,19,4,2,7,7	10	1,5,14,15,16,17,21,22,23
14,1,22,22,26,4,21	2	0,3,4,5,6,7,8,12,16
15,1,0,4,3,24,17	0	2,3,4,5,6,7,8,18,26
15,1,0,17,23,15,12	2	0,3,4,5,6,7,8,10,19
15,1,6,2,21,14,12	0	2,3,4,5,6,7,8,14,21
15,1,9,23,12,3,26	4	1,5,9,10,11,16,18,19,20
15,1,11,15,19,18,24	0	0,2,3,4,5,6,7,8,26
15,1,11,26,19,21,10	5	0,9,10,11,14,18,19,20,26
15,1,14,21,9,14,19	3	2,6,8,9,10,11,18,19,20
15,1,15,19,26,21,26	0	2,3,4,5,6,7,8,11,16
15,1,16,5,19,8,20	3	2,8,9,10,11,18,19,20,23
15,1,17,14,21,0,13	0	0,2,3,4,5,6,7,8,23
15,1,18,5,19,1,16	2	0,3,4,5,6,7,8,22,25
15,1,26,25,8,14,23	2	0,3,4,5,6,7,8,14,23
16,0,1,22,25,25,10	11	0,4,6,15,16,17,21,22,23
16,1,4,26,19,9,20	0	2,3,4,5,6,7,8,16,17
16,1,11,1,6,10,23	1	1,3,4,5,6,7,8,10,17
16,1,12,18,14,14,17	3	2,9,10,11,17,18,19,20,26
