stratum	z2,z3,z4,z5,z6,z7,z8	n_nonsingular	n_zero_disc	n_split_distinct	n_good	n_good_lambda1	n_good_conjugate	n_onepoint	exh_split9	exh_deg8
rank1-offgraph	0,0,1,1,0,17,7	1012	39	444	231	51	180	0	6088	2599
rank1-offgraph	0,0,1,1,0,18,0	1012	39	444	231	51	180	0	6088	2518
rank1-offgraph	0,0,1,1,0,19,17	1012	39	444	231	51	180	0	6088	2532
rank1-offgraph	0,0,1,1,0,20,21	1012	39	444	231	51	180	0	6088	2711
rank1-offgraph	0,0,1,1,0,21,14	1012	39	444	231	51	180	0	6088	2674
rank1-offgraph	0,0,1,1,0,22,24	1012	39	444	231	51	180	0	6088	2674
rank1-offgraph	0,0,1,1,0,23,0	1012	39	444	231	51	180	0	6088	2549
rank1-offgraph	0,0,1,1,0,24,10	1012	39	444	231	51	180	0	6088	2441
rank1-offgraph	0,0,1,1,0,25,19	1012	39	444	231	51	180	0	6088	2441
rank1-offgraph	0,0,1,1,0,26,0	1012	39	444	231	51	180	0	6088	2599
rank1-offgraph	0,0,1,2,0,0,1	1012	39	444	231	51	180	0	6088	2441
rank1-offgraph	0,0,1,2,0,1,0	1012	39	444	231	51	180	0	6088	2402
rank1-offgraph	0,0,1,2,0,3,9	1012	39	444	231	51	180	0	6088	2674
rank1-offgraph	0,0,1,2,0,4,16	1012	39	444	231	51	180	0	6088	2532
rank1-offgraph	0,0,1,2,0,5,13	1012	39	444	231	51	180	0	6088	2441
rank1-offgraph	0,0,1,2,0,6,14	1012	39	444	231	51	180	0	6088	2518
rank1-offgraph	0,0,1,2,0,7,17	1012	39	444	231	51	180	0	6088	2599
rank1-offgraph	0,0,1,2,0,8,10	1012	39	444	231	51	180	0	6088	2402
rank1-offgraph	0,0,1,2,0,9,0	1012	39	444	231	51	180	0	6088	2652
rank1-offgraph	0,0,1,2,0,10,21	1012	39	444	231	51	180	0	6088	2534
rank1-offgraph	0,0,1,2,0,11,17	1012	39	444	231	51	180	0	6088	2674
rank1-offgraph	0,0,1,2,0,12,10	1012	39	444	231	51	180	0	6088	2534
rank1-offgraph	0,0,1,2,0,13,0	1012	39	444	231	51	180	0	6088	2549
rank1-offgraph	0,0,1,2,0,14,19	1012	39	444	231	51	180	0	6088	2532
rank1-offgraph	0,0,1,2,0,15,14	1012	39	444	231	51	180	0	6088	2674
rank1-offgraph	0,0,1,2,0,16,0	1012	39	444	231	51	180	0	6088	2518
rank1-offgraph	0,0,1,2,0,17,24	1012	39	444	231	51	180	0	6088	2441
rank1-offgraph	0,0,1,2,0,18,13	1012	39	444	231	51	180	0	6088	2549
rank1-offgraph	0,0,1,2,0,19,20	1012	39	444	231	51	180	0	6088	2711
rank1-offgraph	0,0,1,2,0,20,8	1012	39	444	231	51	180	0	6088	2599
rank1-offgraph	0,0,1,2,0,21,22	1012	39	444	231	51	180	0	6088	2532
rank1-offgraph	0,0,1,2,0,22,7	1012	39	444	231	51	180	0	6088	2599
rank1-offgraph	0,0,1,2,0,23,9	1012	39	444	231	51	180	0	6088	2402
rank1-offgraph	0,0,1,2,0,24,25	1012	39	444	231	51	180	0	6088	2534
rank1-offgraph	0,0,1,2,0,25,6	1012	39	444	231	51	180	0	6088	2549
rank1-offgraph	0,0,1,2,0,26,16	1012	39	444	231	51	180	0	6088	2518
rank1-offgraph	0,0,1,3,0,0,12	1012	39	444	231	51	180	0	6088	2402
rank1-offgraph	0,0,1,3,0,1,9	1012	39	444	231	51	180	0	6088	2518
rank1-offgraph	0,0,1,3,0,2,17	1012	39	444	231	51	180	0	6088	2599
rank1-offgraph	0,0,1,3,0,3,10	1012	39	444	231	51	180	0	6088	2402
rank1-offgraph	0,0,1,3,0,5,16	1012	39	444	231	51	180	0	6088	2441
rank1-offgraph	0,0,1,3,0,6,2	1012	39	444	231	51	180	0	6088	2674
rank1-offgraph	0,0,1,3,0,7,0	1012	39	444	231	51	180	0	6088	2532
rank1-offgraph	0,0,1,3,0,8,0	1012	39	444	231	51	180	0	6088	2441
rank1-offgraph	0,0,1,3,0,9,11	1012	39	444	231	51	180	0	6088	2652
rank1-offgraph	0,0,1,3,0,10,0	1012	39	444	231	51	180	0	6088	2534
rank1-offgraph	0,0,1,3,0,11,18	1012	39	444	231	51	180	0	6088	2674
rank1-offgraph	0,0,1,3,0,12,17	1012	39	444	231	51	180	0	6088	2532
rank1-offgraph	0,0,1,3,0,13,5	1012	39	444	231	51	180	0	6088	2534
rank1-offgraph	0,0,1,3,0,14,19	1012	39	444	231	51	180	0	6088	2549
rank1-offgraph	0,0,1,3,0,15,8	1012	39	444	231	51	180	0	6088	2518
rank1-offgraph	0,0,1,3,0,16,19	1012	39	444	231	51	180	0	6088	2441
rank1-offgraph	0,0,1,3,0,17,14	1012	39	444	231	51	180	0	6088	2674
rank1-offgraph	0,0,1,3,0,18,18	1012	39	444	231	51	180	0	6088	2599
rank1-offgraph	0,0,1,3,0,19,5	1012	39	444	231	51	180	0	6088	2402
rank1-offgraph	0,0,1,3,0,20,15	1012	39	444	231	51	180	0	6088	2532
rank1-offgraph	0,0,1,3,0,21,26	1012	39	444	231	51	180	0	6088	2534
rank1-offgraph	0,0,1,3,0,22,6	1012	39	444	231	51	180	0	6088	2549
rank1-offgraph	0,0,1,3,0,23,15	1012	39	444	231	51	180	0	6088	2518
rank1-offgraph	0,0,1,3,0,24,16	1012	39	444	231	51	180	0	6088	2599
rank1-offgraph	0,0,1,3,0,25,22	1012	39	444	231	51	180	0	6088	2549
rank1-offgraph	0,0,1,3,0,26,0	1012	39	444	231	51	180	0	6088	2711
rank1-offgraph	0,0,1,4,0,0,11	1012	39	444	231	51	180	0	6088	2532
rank1-offgraph	0,0,1,4,0,1,16	1012	39	444	231	51	180	0	6088	2534
rank1-offgraph	0,0,1,4,0,2,14	1012	39	444	231	51	180	0	6088	2674
rank1-offgraph	0,0,1,4,0,3,13	1012	39	444	231	51	180	0	6088	2599
rank1-offgraph	0,0,1,4,0,4,17	1012	39	444	231	51	180	0	6088	2674
rank1-offgraph	0,0,1,4,0,6,0	1012	39	444	231	51	180	0	6088	2549
rank1-offgraph	0,0,1,4,0,7,0	1012	39	444	231	51	180	0	6088	2518
rank1-offgraph	0,0,1,4,0,8,2	1012	39	444	231	51	180	0	6088	2599
rank1-offgraph	0,0,1,4,0,9,3	1012	39	444	231	51	180	0	6088	2652
rank1-offgraph	0,0,1,4,0,10,21	1012	39	444	231	51	180	0	6088	2441
rank1-offgraph	0,0,1,4,0,11,14	1012	39	444	231	51	180	0	6088	2549
rank1-offgraph	0,0,1,4,0,12,7	1012	39	444	231	51	180	0	6088	2441
rank1-offgraph	0,0,1,4,0,13,21	1012	39	444	231	51	180	0	6088	2402
rank1-offgraph	0,0,1,4,0,14,10	1012	39	444	231	51	180	0	6088	2518
rank1-offgraph	0,0,1,4,0,15,23	1012	39	444	231	51	180	0	6088	2549
rank1-offgraph	0,0,1,4,0,16,15	1012	39	444	231	51	180	0	6088	2532
rank1-offgraph	0,0,1,4,0,17,0	1012	39	444	231	51	180	0	6088	2599
rank1-offgraph	0,0,1,4,0,18,0	1012	39	444	231	51	180	0	6088	2518
rank1-offgraph	0,0,1,4,0,19,13	1012	39	444	231	51	180	0	6088	2534
rank1-offgraph	0,0,1,4,0,20,25	1012	39	444	231	51	180	0	6088	2674
rank1-offgraph	0,0,1,4,0,21,3	1012	39	444	231	51	180	0	6088	2441
rank1-offgraph	0,0,1,4,0,22,12	1012	39	444	231	51	180	0	6088	2402
rank1-offgraph	0,0,1,4,0,23,23	1012	39	444	231	51	180	0	6088	2532
rank1-offgraph	0,0,1,4,0,24,18	1012	39	444	231	51	180	0	6088	2402
rank1-offgraph	0,0,1,4,0,25,8	1012	39	444	231	51	180	0	6088	2711
rank1-offgraph	0,0,1,4,0,26,12	1012	39	444	231	51	180	0	6088	2534
rank1-offgraph	0,0,1,5,0,0,15	1012	39	444	231	51	180	0	6088	2534
rank1-offgraph	0,0,1,5,0,1,13	1012	39	444	231	51	180	0	6088	2534
rank1-offgraph	0,0,1,5,0,2,10	1012	39	444	231	51	180	0	6088	2441
rank1-offgraph	0,0,1,5,0,4,9	1012	39	444	231	51	180	0	6088	2518
rank1-offgraph	0,0,1,5,0,5,14	1012	39	444	231	51	180	0	6088	2532
rank1-offgraph	0,0,1,5,0,6,0	1012	39	444	231	51	180	0	6088	2549
rank1-offgraph	0,0,1,5,0,7,2	1012	39	444	231	51	180	0	6088	2402
rank1-offgraph	0,0,1,5,0,8,0	1012	39	444	231	51	180	0	6088	2549
rank1-offgraph	0,0,1,5,0,9,24	1012	39	444	231	51	180	0	6088	2652
rank1-offgraph	0,0,1,5,0,10,17	1012	39	444	231	51	180	0	6088	2518
rank1-offgraph	0,0,1,5,0,11,6	1012	39	444	231	51	180	0	6088	2532
rank1-offgraph	0,0,1,5,0,12,26	1012	39	444	231	51	180	0	6088	2402
rank1-offgraph	0,0,1,5,0,13,12	1012	39	444	231	51	180	0	6088	2674
rank1-offgraph	0,0,1,5,0,14,0	1012	39	444	231	51	180	0	6088	2402
rank1-offgraph	0,0,1,5,0,15,10	1012	39	444	231	51	180	0	6088	2599
rank1-offgraph	0,0,1,5,0,16,4	1012	39	444	231	51	180	0	6088	2599
rank1-offgraph	0,0,1,5,0,17,24	1012	39	444	231	51	180	0	6088	2534
rank1-offgraph	0,0,1,5,0,18,11	1012	39	444	231	51	180	0	6088	2674
rank1-offgraph	0,0,1,5,0,19,23	1012	39	444	231	51	180	0	6088	2549
rank1-offgraph	0,0,1,5,0,20,7	1012	39	444	231	51	180	0	6088	2674
rank1-offgraph	0,0,1,5,0,21,9	1012	39	444	231	51	180	0	6088	2441
rank1-offgraph	0,0,1,5,0,22,20	1012	39	444	231	51	180	0	6088	2441
rank1-offgraph	0,0,1,5,0,23,0	1012	39	444	231	51	180	0	6088	2599
rank1-offgraph	0,0,1,5,0,24,4	1012	39	444	231	51	180	0	6088	2711
rank1-offgraph	0,0,1,5,0,25,11	1012	39	444	231	51	180	0	6088	2518
rank1-offgraph	0,0,1,5,0,26,26	1012	39	444	231	51	180	0	6088	2532
rank1-offgraph	0,0,1,6,0,0,12	1012	39	444	231	51	180	0	6088	2599
rank1-offgraph	0,0,1,6,0,1,17	1012	39	444	231	51	180	0	6088	2549
rank1-offgraph	0,0,1,6,0,2,9	1012	39	444	231	51	180	0	6088	2518
rank1-offgraph	0,0,1,6,0,3,2	1012	39	444	231	51	180	0	6088	2534
rank1-offgraph	0,0,1,6,0,4,0	1012	39	444	231	51	180	0	6088	2674
rank1-offgraph	0,0,1,6,0,5,0	1012	39	444	231	51	180	0	6088	2532
rank1-offgraph	0,0,1,6,0,6,10	1012	39	444	231	51	180	0	6088	2599
rank1-offgraph	0,0,1,6,0,7,16	1012	39	444	231	51	180	0	6088	2674
rank1-offgraph	0,0,1,6,0,9,18	1012	39	444	231	51	180	0	6088	2652
rank1-offgraph	0,0,1,6,0,10,15	1012	39	444	231	51	180	0	6088	2441
rank1-offgraph	0,0,1,6,0,11,5	1012	39	444	231	51	180	0	6088	2549
rank1-offgraph	0,0,1,6,0,12,16	1012	39	444	231	51	180	0	6088	2518
rank1-offgraph	0,0,1,6,0,13,0	1012	39	444	231	51	180	0	6088	2441
rank1-offgraph	0,0,1,6,0,14,22	1012	39	444	231	51	180	0	6088	2402
rank1-offgraph	0,0,1,6,0,15,26	1012	39	444	231	51	180	0	6088	2532
rank1-offgraph	0,0,1,6,0,16,15	1012	39	444	231	51	180	0	6088	2599
rank1-offgraph	0,0,1,6,0,17,6	1012	39	444	231	51	180	0	6088	2549
rank1-offgraph	0,0,1,6,0,18,11	1012	39	444	231	51	180	0	6088	2402
rank1-offgraph	0,0,1,6,0,19,18	1012	39	444	231	51	180	0	6088	2532
rank1-offgraph	0,0,1,6,0,20,0	1012	39	444	231	51	180	0	6088	2441
rank1-offgraph	0,0,1,6,0,21,8	1012	39	444	231	51	180	0	6088	2402
rank1-offgraph	0,0,1,6,0,22,14	1012	39	444	231	51	180	0	6088	2711
rank1-offgraph	0,0,1,6,0,23,19	1012	39	444	231	51	180	0	6088	2534
rank1-offgraph	0,0,1,6,0,24,17	1012	39	444	231	51	180	0	6088	2674
rank1-offgraph	0,0,1,6,0,25,19	1012	39	444	231	51	180	0	6088	2518
rank1-offgraph	0,0,1,6,0,26,5	1012	39	444	231	51	180	0	6088	2534
rank1-offgraph	0,0,1,7,0,0,15	1012	39	444	231	51	180	0	6088	2549
rank1-offgraph	0,0,1,7,0,1,10	1012	39	444	231	51	180	0	6088	2549
rank1-offgraph	0,0,1,7,0,2,13	1012	39	444	231	51	180	0	6088	2402
rank1-offgraph	0,0,1,7,0,3,0	1012	39	444	231	51	180	0	6088	2534
rank1-offgraph	0,0,1,7,0,4,0	1012	39	444	231	51	180	0	6088	2441
rank1-offgraph	0,0,1,7,0,5,2	1012	39	444	231	51	180	0	6088	2534
rank1-offgraph	0,0,1,7,0,7,14	1012	39	444	231	51	180	0	6088	2518
rank1-offgraph	0,0,1,7,0,8,9	1012	39	444	231	51	180	0	6088	2532
rank1-offgraph	0,0,1,7,0,9,11	1012	39	444	231	51	180	0	6088	2652
rank1-offgraph	0,0,1,7,0,10,7	1012	39	444	231	51	180	0	6088	2518
rank1-offgraph	0,0,1,7,0,11,23	1012	39	444	231	51	180	0	6088	2532
rank1-offgraph	0,0,1,7,0,12,4	1012	39	444	231	51	180	0	6088	2402
rank1-offgraph	0,0,1,7,0,13,26	1012	39	444	231	51	180	0	6088	2402
rank1-offgraph	0,0,1,7,0,14,11	1012	39	444	231	51	180	0	6088	2674
rank1-offgraph	0,0,1,7,0,15,9	1012	39	444	231	51	180	0	6088	2599
rank1-offgraph	0,0,1,7,0,16,0	1012	39	444	231	51	180	0	6088	2534
rank1-offgraph	0,0,1,7,0,17,20	1012	39	444	231	51	180	0	6088	2599
rank1-offgraph	0,0,1,7,0,18,24	1012	39	444	231	51	180	0	6088	2441
rank1-offgraph	0,0,1,7,0,19,6	1012	39	444	231	51	180	0	6088	2599
rank1-offgraph	0,0,1,7,0,20,17	1012	39	444	231	51	180	0	6088	2441
rank1-offgraph	0,0,1,7,0,21,10	1012	39	444	231	51	180	0	6088	2711
rank1-offgraph	0,0,1,7,0,22,24	1012	39	444	231	51	180	0	6088	2518
rank1-offgraph	0,0,1,7,0,23,4	1012	39	444	231	51	180	0	6088	2532
rank1-offgraph	0,0,1,7,0,24,26	1012	39	444	231	51	180	0	6088	2674
rank1-offgraph	0,0,1,7,0,25,0	1012	39	444	231	51	180	0	6088	2674
rank1-offgraph	0,0,1,7,0,26,12	1012	39	444	231	51	180	0	6088	2549
rank1-offgraph	0,0,1,8,0,0,11	1012	39	444	231	51	180	0	6088	2441
rank1-offgraph	0,0,1,8,0,1,14	1012	39	444	231	51	180	0	6088	2674
rank1-offgraph	0,0,1,8,0,2,16	1012	39	444	231	51	180	0	6088	2532
rank1-offgraph	0,0,1,8,0,3,0	1012	39	444	231	51	180	0	6088	2518
rank1-offgraph	0,0,1,8,0,4,2	1012	39	444	231	51	180	0	6088	2599
rank1-offgraph	0,0,1,8,0,5,0	1012	39	444	231	51	180	0	6088	2402
rank1-offgraph	0,0,1,8,0,6,13	1012	39	444	231	51	180	0	6088	2402
rank1-offgraph	0,0,1,8,0,8,17	1012	39	444	231	51	180	0	6088	2441
rank1-offgraph	0,0,1,8,0,9,0	1012	39	444	231	51	180	0	6088	2652
rank1-offgraph	0,0,1,8,0,10,25	1012	39	444	231	51	180	0	6088	2534
rank1-offgraph	0,0,1,8,0,11,13	1012	39	444	231	51	180	0	6088	2674
rank1-offgraph	0,0,1,8,0,12,18	1012	39	444	231	51	180	0	6088	2549
rank1-offgraph	0,0,1,8,0,13,12	1012	39	444	231	51	180	0	6088	2532
rank1-offgraph	0,0,1,8,0,14,8	1012	39	444	231	51	180	0	6088	2534
rank1-offgraph	0,0,1,8,0,15,3	1012	39	444	231	51	180	0	6088	2441
rank1-offgraph	0,0,1,8,0,16,23	1012	39	444	231	51	180	0	6088	2674
rank1-offgraph	0,0,1,8,0,17,12	1012	39	444	231	51	180	0	6088	2518
rank1-offgraph	0,0,1,8,0,18,3	1012	39	444	231	51	180	0	6088	2549
rank1-offgraph	0,0,1,8,0,19,14	1012	39	444	231	51	180	0	6088	2518
rank1-offgraph	0,0,1,8,0,20,21	1012	39	444	231	51	180	0	6088	2534
rank1-offgraph	0,0,1,8,0,21,23	1012	39	444	231	51	180	0	6088	2599
rank1-offgraph	0,0,1,8,0,22,0	1012	39	444	231	51	180	0	6088	2549
rank1-offgraph	0,0,1,8,0,23,15	1012	39	444	231	51	180	0	6088	2711
rank1-offgraph	0,0,1,8,0,24,7	1012	39	444	231	51	180	0	6088	2532
rank1-offgraph	0,0,1,8,0,25,10	1012	39	444	231	51	180	0	6088	2599
rank1-offgraph	0,0,1,8,0,26,21	1012	39	444	231	51	180	0	6088	2402
rank1-offgraph	0,0,1,9,0,0,20	1012	39	444	231	51	180	0	6088	2534
rank1-offgraph	0,0,1,9,0,1,14	1012	39	444	231	51	180	0	6088	2532
rank1-offgraph	0,0,1,9,0,2,7	1012	39	444	231	51	180	0	6088	2402
rank1-offgraph	0,0,1,9,0,3,26	1012	39	444	231	51	180	0	6088	2532
rank1-offgraph	0,0,1,9,0,4,16	1012	39	444	231	51	180	0	6088	2674
rank1-offgraph	0,0,1,9,0,5,8	1012	39	444	231	51	180	0	6088	2599
rank1-offgraph	0,0,1,9,0,6,17	1012	39	444	231	51	180	0	6088	2549
rank1-offgraph	0,0,1,9,0,7,3	1012	39	444	231	51	180	0	6088	2441
rank1-offgraph	0,0,1,9,0,8,18	1012	39	444	231	51	180	0	6088	2532
rank1-offgraph	0,0,1,9,0,9,23	1012	39	444	231	51	180	0	6088	2652
rank1-offgraph	0,0,1,9,0,10,0	1012	39	444	231	51	180	0	6088	2402
rank1-offgraph	0,0,1,9,0,11,15	1012	39	444	231	51	180	0	6088	2599
rank1-offgraph	0,0,1,9,0,12,19	1012	39	444	231	51	180	0	6088	2674
rank1-offgraph	0,0,1,9,0,13,4	1012	39	444	231	51	180	0	6088	2441
rank1-offgraph	0,0,1,9,0,14,15	1012	39	444	231	51	180	0	6088	2711
rank1-offgraph	0,0,1,9,0,15,9	1012	39	444	231	51	180	0	6088	2534
rank1-offgraph	0,0,1,9,0,17,0	1012	39	444	231	51	180	0	6088	2549
rank1-offgraph	0,0,1,9,0,18,1	1012	39	444	231	51	180	0	6088	2674
rank1-offgraph	0,0,1,9,0,19,0	1012	39	444	231	51	180	0	6088	2599
rank1-offgraph	0,0,1,9,0,20,1	1012	39	444	231	51	180	0	6088	2518
rank1-offgraph	0,0,1,9,0,21,8	1012	39	444	231	51	180	0	6088	2441
