orbit_rep	orbit_size	torus_frobenius_rep	category	max_plane_intersection	n_lines_contained	parallel_directions	nine_set
1576169	13	1576169	d-none	5	4	-	0,3,5,6,7,10,11,19,20
1576170	26	1576170	d-none	5	2	-	1,3,5,6,7,10,11,19,20
1576184	26	1576184	d-none	5	1	-	3,4,5,6,7,10,11,19,20
1576680	26	1576680	d-none	5	1	-	3,5,6,7,9,10,11,19,20
1580264	26	1576680	d-none	5	1	-	3,5,6,7,10,11,12,19,20
1582387	26	340551	d-none	5	3	-	0,1,4,5,8,10,13,19,20
1584360	26	1576170	d-none	5	2	-	3,5,6,7,10,11,13,19,20
1592552	26	1576184	d-none	5	1	-	3,5,6,7,10,11,14,19,20
1601708	26	400082	d-none	6	4	-	2,3,5,7,12,13,14,19,20
1608936	26	1576680	d-none	5	1	-	3,5,6,7,10,11,15,19,20
1641704	26	1576184	d-none	5	1	-	3,5,6,7,10,11,16,19,20
1659926	26	444998	d-none	5	2	-	1,2,4,10,12,14,16,19,20
1673765	26	434715	d-none	6	4	-	0,2,5,9,11,15,16,19,20
1679473	26	325643	d-none	6	4	-	0,4,5,6,13,15,16,19,20
1706780	26	405320	d-none	5	3	-	2,3,4,8,9,11,17,19,20
1707240	26	1576170	d-none	5	2	-	3,5,6,7,10,11,17,19,20
1840017	26	664231	d-none	6	5	-	0,4,7,8,9,12,18,19,20
1868641	26	415783	d-none	5	3	-	0,5,6,8,9,15,18,19,20
1876054	26	386124	d-none	6	4	-	1,2,4,6,13,15,18,19,20
1901158	26	664042	d-none	6	5	-	1,2,5,6,9,16,18,19,20
1942208	26	323922	d-none	6	3	-	6,7,9,13,15,16,18,19,20
2032080	26	374560	d-none	6	4	-	4,6,7,8,16,17,18,19,20
2137644	26	587828	d-none	5	3	-	2,3,5,9,10,11,12,15,21
2158152	26	751776	d-none	6	4	-	3,6,9,10,11,13,14,15,21
2184250	26	705082	d-none	6	3	-	1,3,4,5,10,12,14,16,21
2355272	26	662614	d-none	6	3	-	3,6,12,13,14,15,16,17,21
2418896	26	351756	d-none	6	4	-	4,6,7,11,13,14,15,18,21
2451973	26	415783	d-none	5	3	-	0,2,9,11,13,14,16,18,21
2633568	26	386124	d-none	6	4	-	5,6,8,9,10,11,13,19,21
2689338	26	969284	d-none	5	3	-	1,3,4,5,8,11,16,19,21
2772304	26	299834	d-none	5	4	-	4,6,8,10,11,14,17,19,21
2902820	26	641816	d-none	5	2	-	2,5,8,9,11,14,18,19,21
2969712	26	496780	d-none	6	5	-	4,5,6,12,14,16,18,19,21
3153189	26	338401	d-none	5	4	-	0,2,5,8,10,11,12,20,21
3182404	26	1090932	d-none	6	4	-	2,6,8,9,10,11,15,20,21
3211726	26	280766	d-none	6	5	-	1,2,3,6,7,8,16,20,21
3216910	26	1131384	d-none	6	4	-	1,2,3,9,10,12,16,20,21
3230772	26	340212	d-none	5	3	-	2,4,5,10,11,14,16,20,21
3285398	26	284266	d-none	5	2	-	1,2,4,7,8,13,17,20,21
3711816	26	284266	d-none	5	2	-	3,6,8,9,13,15,19,20,21
3842098	26	512560	d-none	6	5	-	1,4,5,13,15,17,19,20,21
4791588	26	346578	d-none	6	4	-	2,5,8,10,11,12,16,19,22
4852145	13	4852145	d-none	5	4	-	0,4,5,7,8,11,17,19,22
4852146	26	4852146	d-none	5	1	-	1,4,5,7,8,11,17,19,22
4852152	26	4852152	d-none	5	2	-	3,4,5,7,8,11,17,19,22
4852656	26	4852146	d-none	5	1	-	4,5,7,8,9,11,17,19,22
4853168	26	4852146	d-none	5	1	-	4,5,7,8,10,11,17,19,22
4856240	26	4852152	d-none	5	2	-	4,5,7,8,11,12,17,19,22
4860336	26	4852152	d-none	5	2	-	4,5,7,8,11,13,17,19,22
4868528	26	4868528	d-none	5	1	-	4,5,7,8,11,14,17,19,22
4884912	26	4868528	d-none	5	1	-	4,5,7,8,11,15,17,19,22
4917680	26	4868528	d-none	5	1	-	4,5,7,8,11,16,17,19,22
5449240	26	299834	d-none	5	4	-	3,4,9,10,13,16,17,20,22
