implementation	round	ns_per_query	peak_rss_kb
baseline	1	5976	10836
full_rank_cache	1	4515	11800
baseline	2	5566	10788
full_rank_cache	2	4546	11784
baseline	3	5587	10708
full_rank_cache	3	4523	11896
baseline	4	5673	10752
full_rank_cache	4	4542	11944
baseline	5	5635	10836
full_rank_cache	5	4615	11544
baseline	6	5728	10976
full_rank_cache	6	4526	11804
baseline	7	5587	10812
full_rank_cache	7	4554	11896
