implementation	round	ns_per_compile	peak_rss_kb
baseline	1	165012972	83520
basis_replay	1	84269728	49824
baseline	2	138735980	83536
basis_replay	2	61609025	49680
baseline	3	126525678	83344
basis_replay	3	64467261	49712
baseline	4	125361736	83472
basis_replay	4	65022350	49688
baseline	5	124250086	83476
basis_replay	5	64674592	49632
baseline	6	124483867	83328
basis_replay	6	63741600	49720
baseline	7	126839147	83500
basis_replay	7	64157164	49796
