implementation	round	ns_per_query	peak_rss_kb
baseline	1	12304	11652
full_rank_cache	1	5660	11864
baseline	2	9100	12024
full_rank_cache	2	5618	11764
baseline	3	9381	11840
full_rank_cache	3	5610	11992
baseline	4	9308	11804
full_rank_cache	4	5680	11964
baseline	5	9229	11816
full_rank_cache	5	5633	11856
baseline	6	9341	11884
full_rank_cache	6	5686	11856
baseline	7	9136	11756
full_rank_cache	7	5640	11680
