implementation	round	ns_per_query	peak_rss_kb
baseline	1	14899	10804
full_rank_cache	1	9160	11676
baseline	2	11551	10944
full_rank_cache	2	9339	11788
baseline	3	11359	10872
full_rank_cache	3	9369	11652
baseline	4	11235	10700
full_rank_cache	4	9213	12016
baseline	5	11252	10832
full_rank_cache	5	9295	11680
baseline	6	11250	10700
full_rank_cache	6	9450	11680
baseline	7	11663	10796
full_rank_cache	7	9321	11728
