# C1053 repair-DAG BFS map merge: interleaved A/B raw samples and summary
# variant	application:rdag:rust:21:3
# host_cpu_pinned	3
# rustc	rustc 1.93.1 (01f6ddf75 2026-02-11)
# control_binary	bench_kernels-3c4dd0293	sha256=ce3e0b06018d5de706f11fa3b0d942632a9e15980e09db92a507475060ff38e1
# candidate_binary	bench_kernels-c1053-cap64	sha256=f6d1bcac3994dabad84a829ebe9592d4b9f45fc5187997832cc2ccefb0483f10
# rejected_cap4096_binary	bench_kernels-c1053-candidate	sha256=530c3921b381ff00129915f0ad531a8a3eb98425ad8341d5c5d245325dbab43b
# profiles	cold=1 repetition, warm_batch=8 repetitions (BENCHMARKS.md protocol), kernel=1024 repetitions (startup-amortized, added here)
# sampler	scripts recorded verbatim below the tables

[accepted candidate: REPAIR_DAG_RESERVATION_CAP = 64] raw samples
round	profile	reps	arm	elapsed_ns	work	checksum	peak_rss_kib	instructions	cycles	branches	branch_misses
14	cold	1	new	18504	4	3	2044	457406	555733	89073	5252
14	cold	1	old	18695	4	3	2124	457825	565086	89038	5346
14	warm_batch	8	new	80149	32	24	2092	844831	814752	174503	6087
14	warm_batch	8	old	57136	32	24	2044	860535	710865	176708	6050
14	kernel	1024	new	7781000	4096	3072	2088	57605453	19125302	12762968	16689
14	kernel	1024	old	7701211	4096	3072	2060	59890096	18879032	13056541	20399
15	cold	1	old	18494	4	3	2100	458330	576740	89179	5355
15	cold	1	new	18354	4	3	2132	457140	558156	88983	5321
15	warm_batch	8	old	73207	32	24	2012	860987	786378	176856	5990
15	warm_batch	8	new	59231	32	24	2144	845004	702518	174560	6036
15	kernel	1024	old	7715949	4096	3072	2144	59890259	18964947	13056596	20593
15	kernel	1024	new	7729775	4096	3072	2000	57604621	18943046	12762688	16476
101	cold	1	old	17953	4	3	2004	457962	821389	89083	5356
101	cold	1	new	18604	4	3	2076	457495	760793	89102	5318
101	warm_batch	8	old	52017	32	24	2040	860505	892616	176698	6097
101	warm_batch	8	new	54050	32	24	2076	844926	925889	174534	6127
101	kernel	1024	old	7427893	4096	3072	2124	59890694	18706229	13056739	26462
101	kernel	1024	new	10553176	4096	3072	2044	57605304	19077689	12762914	18486
102	cold	1	new	17954	4	3	2144	457050	712201	88953	5294
102	cold	1	old	16801	4	3	2100	458509	717121	89266	5291
102	warm_batch	8	new	54692	32	24	2100	844956	856737	174544	6074
102	warm_batch	8	old	54382	32	24	2092	860877	899294	176822	6077
102	kernel	1024	new	10530794	4096	3072	2156	57604480	19106980	12762638	18127
102	kernel	1024	old	10474690	4096	3072	2056	59890058	18825252	13056526	24972
103	cold	1	old	16941	4	3	2048	457992	735282	89093	5246
103	cold	1	new	21129	4	3	2016	457231	789715	89014	5374
103	warm_batch	8	old	53860	32	24	2064	860299	879576	176628	6056
103	warm_batch	8	new	56766	32	24	2108	844605	898746	174429	6187
103	kernel	1024	old	6485110	4096	3072	2056	59889941	19064782	13056490	23355
103	kernel	1024	new	7551143	4096	3072	2016	57605166	19287391	12762869	17792
104	cold	1	new	20358	4	3	2120	456595	788716	88802	5395
104	cold	1	old	19917	4	3	2124	457826	768192	89039	5274
104	warm_batch	8	new	53519	32	24	2104	844969	919580	174549	6057
104	warm_batch	8	old	51736	32	24	2128	860671	902559	176752	5990
104	kernel	1024	new	10575578	4096	3072	2052	57604920	19242322	12762786	18755
104	kernel	1024	old	10433894	4096	3072	2156	59890044	18769188	13056520	24277
105	cold	1	old	18965	4	3	2124	458000	753683	89097	5255
105	cold	1	new	17172	4	3	2088	457104	760359	88971	5355
105	warm_batch	8	old	53629	32	24	2044	861089	900600	176890	6062
105	warm_batch	8	new	54852	32	24	2024	844896	887504	174524	6030
105	kernel	1024	old	7471555	4096	3072	2052	59890858	19015443	13056795	23295
105	kernel	1024	new	10501861	4096	3072	2080	57604511	19110646	12762649	19034
106	cold	1	new	17763	4	3	2088	457759	785885	89190	5337
106	cold	1	old	16360	4	3	2036	457928	638934	89073	5243
106	warm_batch	8	new	38932	32	24	2076	845070	813436	174582	5891
106	warm_batch	8	old	37119	32	24	2144	860358	737202	176647	6044
106	kernel	1024	new	5659334	4096	3072	2080	57604818	11763018	12762761	19379
106	kernel	1024	old	7369956	4096	3072	2132	59890505	19012267	13056678	20615
107	cold	1	old	17933	4	3	2016	457676	728777	88989	5354
107	cold	1	new	19977	4	3	2036	457249	718979	89020	5310
107	warm_batch	8	old	52909	32	24	2136	860940	880422	176841	5976
107	warm_batch	8	new	55353	32	24	2124	845197	895257	174625	5974
107	kernel	1024	old	7405422	4096	3072	2120	59889740	18904215	13056421	20560
107	kernel	1024	new	7515356	4096	3072	2140	57604882	19351379	12762777	16040
108	cold	1	new	22061	4	3	2032	456578	709035	88797	5244
108	cold	1	old	21920	4	3	2016	457351	722130	88880	5322
108	warm_batch	8	new	56806	32	24	2012	845003	877704	174559	5983
108	warm_batch	8	old	52718	32	24	2052	861391	878846	176992	5991
108	kernel	1024	new	7551804	4096	3072	2116	57604946	19351114	12762797	16586
108	kernel	1024	old	10538559	4096	3072	2016	59889823	18959746	13056447	21163
109	cold	1	old	16852	4	3	2004	457835	784663	89040	5233
109	cold	1	new	19657	4	3	2008	457026	721808	88945	5264
109	warm_batch	8	old	54852	32	24	2024	860754	892089	176779	6048
109	warm_batch	8	new	57598	32	24	2116	845161	846552	174613	6087
109	kernel	1024	old	10534992	4096	3072	2044	59890526	18896546	13056682	20657
109	kernel	1024	new	7630891	4096	3072	2120	57605050	19313266	12762833	16472
110	cold	1	new	19777	4	3	2112	456828	695201	88879	5328
110	cold	1	old	21921	4	3	2116	457614	698083	88967	5199
110	warm_batch	8	new	59972	32	24	2124	844608	831317	174428	6022
110	warm_batch	8	old	55123	32	24	2104	860347	859414	176644	6024
110	kernel	1024	new	7973027	4096	3072	2132	57605194	19318322	12762881	16810
110	kernel	1024	old	7545693	4096	3072	2012	59890365	18904531	13056630	21304
111	cold	1	old	18004	4	3	2140	458226	602722	89171	5241
111	cold	1	new	18294	4	3	1996	457086	606041	88965	5376
111	warm_batch	8	old	53910	32	24	2136	861259	752273	176948	6025
111	warm_batch	8	new	54872	32	24	2060	845191	760828	174623	5975
111	kernel	1024	old	7554299	4096	3072	2156	59890129	18790889	13056554	20534
111	kernel	1024	new	10593280	4096	3072	2012	57604456	19199665	12762630	16666
112	cold	1	new	18775	4	3	2004	456869	622865	88892	5308
