# C1053 repair-DAG BFS map merge: interleaved A/B raw samples and summary
# variant	application:rdag:rust:21:3
# host_cpu_pinned	3
# rustc	rustc 1.93.1 (01f6ddf75 2026-02-11)
# control_binary	bench_kernels-3c4dd0293	sha256=ce3e0b06018d5de706f11fa3b0d942632a9e15980e09db92a507475060ff38e1
# candidate_binary	bench_kernels-c1053-cap64	sha256=f6d1bcac3994dabad84a829ebe9592d4b9f45fc5187997832cc2ccefb0483f10
# rejected_cap4096_binary	bench_kernels-c1053-candidate	sha256=530c3921b381ff00129915f0ad531a8a3eb98425ad8341d5c5d245325dbab43b
# profiles	cold=1 repetition, warm_batch=8 repetitions (BENCHMARKS.md protocol), kernel=1024 repetitions (startup-amortized, added here)
# sampler	scripts recorded verbatim below the tables

[accepted candidate: REPAIR_DAG_RESERVATION_CAP = 64] raw samples
round	profile	reps	arm	elapsed_ns	work	checksum	peak_rss_kib	instructions	cycles	branches	branch_misses
2	warm_batch	8	old	33833	32	24	2132	860799	618044	176820	6065
2	kernel	1024	new	5274469	4096	3072	2164	57960171	11733447	12725646	19849
2	kernel	1024	old	5263017	4096	3072	2000	59889747	11696651	13056448	22252
3	cold	1	old	12874	4	3	2016	458214	507703	89187	5176
3	cold	1	new	19847	4	3	2144	457024	518711	88907	5208
3	warm_batch	8	old	30307	32	24	2056	861099	606492	176920	6024
3	warm_batch	8	new	44863	32	24	2044	848968	616648	175092	5877
3	kernel	1024	old	2250500	4096	3072	2124	59889957	11637459	13056518	21933
3	kernel	1024	new	2322344	4096	3072	2140	57960745	11713230	12725836	19099
4	cold	1	new	20899	4	3	2008	456910	522706	88869	5302
4	cold	1	old	12884	4	3	2136	458007	530059	89124	5305
4	warm_batch	8	new	45675	32	24	2176	848489	694274	174933	5866
4	warm_batch	8	old	33742	32	24	2004	860971	625021	176876	5995
4	kernel	1024	new	2276608	4096	3072	2044	57960773	11723715	12725844	18712
4	kernel	1024	old	5246056	4096	3072	2020	59889635	11639918	13056411	21755
5	cold	1	old	14306	4	3	2100	458463	538144	89276	5234
5	cold	1	new	24877	4	3	2092	457087	542519	88930	5251
5	warm_batch	8	old	33693	32	24	2132	860451	619101	176704	6051
5	warm_batch	8	new	49171	32	24	2156	849089	752132	175133	5928
5	kernel	1024	old	5334441	4096	3072	2016	59890035	11724060	13056516	22000
5	kernel	1024	new	5302030	4096	3072	2120	57960859	11770071	12725874	19420
6	cold	1	new	21229	4	3	2148	457386	602207	89029	5306
6	cold	1	old	16380	4	3	2128	457486	530270	88951	5254
6	warm_batch	8	new	44452	32	24	2164	849275	613349	175195	5933
6	warm_batch	8	old	34414	32	24	2132	860725	648298	176794	6170
6	kernel	1024	new	5308332	4096	3072	2044	57960504	11813038	12725755	21674
6	kernel	1024	old	2311934	4096	3072	2040	59890179	11650271	13056592	21582
7	cold	1	old	13395	4	3	2004	458116	538395	89161	5279
7	cold	1	new	22171	4	3	2152	457302	533068	89001	5253
7	warm_batch	8	old	34124	32	24	2056	860495	645496	176720	6173
7	warm_batch	8	new	45415	32	24	2072	849048	621546	175120	5813
7	kernel	1024	old	2303238	4096	3072	2120	59889465	11853627	13056354	21713
7	kernel	1024	new	2292308	4096	3072	2088	57960254	11708263	12725673	18734
8	cold	1	new	23935	4	3	2032	457668	553552	89123	5299
8	cold	1	old	13395	4	3	2096	457716	504104	89029	5209
8	warm_batch	8	new	47068	32	24	2036	849280	637437	175196	5890
8	warm_batch	8	old	33032	32	24	2152	861051	607289	176904	6113
8	kernel	1024	new	2296646	4096	3072	2032	57960814	11720468	12725857	19871
8	kernel	1024	old	2314839	4096	3072	2152	59890425	11673698	13056674	20502
9	cold	1	old	13124	4	3	2120	457989	543314	89118	5312
9	cold	1	new	23083	4	3	1996	457114	657443	88937	5298
9	warm_batch	8	old	35677	32	24	2120	860638	906936	176767	5984
9	warm_batch	8	new	72746	32	24	2116	849256	1131347	175184	5947
9	kernel	1024	old	5291691	4096	3072	2012	59890106	11736066	13056567	21429
9	kernel	1024	new	5347736	4096	3072	2076	57960955	11959415	12725906	21009
10	cold	1	new	20909	4	3	2012	457498	541009	89065	5327
10	cold	1	old	13425	4	3	2060	457432	529904	88933	5266
10	warm_batch	8	new	44343	32	24	2048	849172	625220	175160	5857
10	warm_batch	8	old	32300	32	24	2136	861511	614815	177056	5969
10	kernel	1024	new	2289432	4096	3072	2116	57960825	11770535	12725864	20669
10	kernel	1024	old	2261299	4096	3072	2004	59890124	11639645	13056573	22253
11	cold	1	old	13505	4	3	2016	458226	517823	89195	5246
11	cold	1	new	21360	4	3	2140	457853	522578	89182	5198
11	warm_batch	8	old	32811	32	24	2092	861135	620105	176932	6070
11	warm_batch	8	new	46096	32	24	2140	848740	669572	175016	5946
11	kernel	1024	old	2261290	4096	3072	2004	59889554	11682117	13056383	21705
11	kernel	1024	new	5309193	4096	3072	2096	57961141	11770249	12725968	19520

[rejected variant: cap 256] raw samples
round	profile	reps	arm	elapsed_ns	work	checksum	peak_rss_kib	instructions	cycles	branches	branch_misses
1	cold	1	old	15168	4	3	2136	457274	730307	88855	5251
1	cold	1	new	15058	4	3	2128	456893	609763	88900	5212
1	warm_batch	8	old	33603	32	24	2088	860854	723404	176811	6025
1	warm_batch	8	new	36859	32	24	2108	850217	716410	175667	6091
1	kernel	1024	old	5402699	4096	3072	2108	59890131	11953109	13056552	20616
1	kernel	1024	new	6447923	4096	3072	2068	58326779	12136520	12848345	23361
2	cold	1	new	14928	4	3	2116	456466	698201	88757	5249
2	cold	1	old	15038	4	3	2048	458156	616005	89149	5258
2	warm_batch	8	new	37941	32	24	2104	850271	792451	175685	6135
2	warm_batch	8	old	34243	32	24	2144	860557	702893	176714	6052
2	kernel	1024	new	5402618	4096	3072	2068	58326875	12008840	12848377	24395
2	kernel	1024	old	5357254	4096	3072	2080	59890785	11806138	13056770	22387
3	cold	1	old	13535	4	3	2028	458684	622500	89325	5252
3	cold	1	new	14207	4	3	2036	456977	603419	88928	5300
3	warm_batch	8	old	34655	32	24	2048	860743	716923	176776	6002
3	warm_batch	8	new	36027	32	24	2096	850614	804604	175800	6180
3	kernel	1024	old	5373415	4096	3072	2088	59890227	11855390	13056584	23795
3	kernel	1024	new	5450988	4096	3072	2128	58327179	12078761	12848477	23820
4	cold	1	new	14246	4	3	2104	456815	682716	88874	5223
4	cold	1	old	14396	4	3	2144	458234	564272	89175	5186
4	warm_batch	8	new	36739	32	24	2012	851180	666493	175985	6122
4	warm_batch	8	old	34424	32	24	2052	860480	713780	176689	6152
4	kernel	1024	new	5369777	4096	3072	2132	58326960	11970034	12848406	21772
4	kernel	1024	old	5351934	4096	3072	2136	59890381	11961221	13056634	28144
5	cold	1	old	13776	4	3	2132	458119	585272	89136	5217
5	cold	1	new	13916	4	3	2064	457084	573097	88963	5199
5	warm_batch	8	old	34615	32	24	2120	860706	670842	176763	6041
5	warm_batch	8	new	37259	32	24	2116	850799	667362	175861	6236
5	kernel	1024	old	6073306	4096	3072	2128	59890424	15346419	13056649	52913
5	kernel	1024	new	5416825	4096	3072	2072	58327142	11955094	12848464	22894
6	cold	1	new	14217	4	3	2084	456886	578185	88897	5239
6	cold	1	old	14698	4	3	2008	457465	573180	88918	5205
6	warm_batch	8	new	38010	32	24	2020	850654	682069	175812	6084
6	warm_batch	8	old	33202	32	24	2128	860845	655173	176810	6089
6	kernel	1024	new	5386539	4096	3072	2116	58326863	11841034	12848373	21651
6	kernel	1024	old	2295359	4096	3072	1992	59890182	11650430	13056567	22979
7	cold	1	old	14446	4	3	2080	457999	546935	89096	5265
7	cold	1	new	13024	4	3	2116	457269	534016	89024	5205
7	warm_batch	8	old	33893	32	24	2032	860821	636128	176802	6023
7	warm_batch	8	new	37009	32	24	2004	850780	654137	175854	6048
7	kernel	1024	old	5392700	4096	3072	2044	59890407	11873610	13056644	23621
7	kernel	1024	new	5408109	4096	3072	2104	58326892	11930813	12848382	24776
8	cold	1	new	14738	4	3	2148	456958	523525	88921	5179
8	cold	1	old	14026	4	3	2008	458088	524278	89125	5241
8	warm_batch	8	new	36498	32	24	2012	850589	667570	175791	6111
8	warm_batch	8	old	34264	32	24	2000	860759	652516	176780	6076
8	kernel	1024	new	4360741	4096	3072	2148	58326585	12112708	12848279	23650
8	kernel	1024	old	5326447	4096	3072	2128	59890395	11875003	13056640	21994
9	cold	1	old	13114	4	3	2064	458185	616286	89158	5210
9	cold	1	new	16951	4	3	2132	457204	743186	89003	5283
9	warm_batch	8	old	34153	32	24	2040	860461	843965	176682	5925
9	warm_batch	8	new	39083	32	24	2052	850164	907978	175650	6229
9	kernel	1024	old	5446821	4096	3072	2088	59890364	11949664	13056629	23624
9	kernel	1024	new	5373475	4096	3072	2028	58326328	12139160	12848194	22174
10	cold	1	new	15148	4	3	2136	457738	705428	89181	5233
10	cold	1	old	13766	4	3	2088	458031	717857	89108	5257
10	warm_batch	8	new	42359	32	24	2056	850242	897210	175676	6076
10	warm_batch	8	old	33973	32	24	2048	861397	896735	176994	5956
10	kernel	1024	new	5480112	4096	3072	2116	58326289	12389675	12848175	22046
10	kernel	1024	old	2276123	4096	3072	2028	59889836	11641535	13056453	22533
11	cold	1	old	14857	4	3	2104	458649	681099	89314	5239
11	cold	1	new	16671	4	3	2044	456521	685725	88776	5165
11	warm_batch	8	old	34464	32	24	2144	861210	653251	176931	6034
11	warm_batch	8	new	37119	32	24	2044	850092	780332	175626	6122
11	kernel	1024	old	5331646	4096	3072	2140	59890208	11853432	13056577	25016
11	kernel	1024	new	5489309	4096	3072	2132	58326898	12696857	12848384	22146
12	cold	1	new	14547	4	3	2104	457331	678348	89046	5265
12	cold	1	old	12713	4	3	2040	457904	690047	89065	5234
12	warm_batch	8	new	38622	32	24	2124	850979	810475	175921	6111
12	warm_batch	8	old	36238	32	24	2012	861090	919917	176891	6050
12	kernel	1024	new	5377271	4096	3072	2136	58326574	12182313	12848276	25968
12	kernel	1024	old	5318031	4096	3072	2132	59890708	11955230	13056745	23045
13	cold	1	old	14387	4	3	2136	457903	603778	89064	5216
13	cold	1	new	15228	4	3	2120	457528	689204	89111	5336
13	warm_batch	8	old	33973	32	24	2044	861541	758011	177042	6165
13	warm_batch	8	new	37249	32	24	2088	850361	725152	175715	6224
13	kernel	1024	old	5339020	4096	3072	2092	59889976	11821309	13056501	23016
13	kernel	1024	new	5374716	4096	3072	2124	58326827	12120926	12848361	22718
14	cold	1	new	14797	4	3	2148	457198	735786	89001	5313
14	cold	1	old	15709	4	3	2008	457507	626234	88932	5199
14	warm_batch	8	new	36828	32	24	2112	850625	837606	175803	6151
14	warm_batch	8	old	33723	32	24	2080	861135	728137	176908	6079
14	kernel	1024	new	2318828	4096	3072	2108	58326850	12110919	12848368	23182
14	kernel	1024	old	2260480	4096	3072	2144	59890071	11749625	13056532	20744
15	cold	1	old	14407	4	3	2080	457971	690902	89088	5195
15	cold	1	new	13906	4	3	2112	457222	638990	89009	5171
15	warm_batch	8	old	33833	32	24	2124	861348	788290	176977	6052
15	warm_batch	8	new	37580	32	24	2088	850793	773638	175859	6173
15	kernel	1024	old	5313362	4096	3072	2008	59889704	11930472	13056409	24040
15	kernel	1024	new	5362784	4096	3072	2132	58327462	11994169	12848572	24284

[sampler] scripts/c1053_ab.sh equivalent
# #!/usr/bin/env bash
# # C1053 interleaved A/B on the repair-DAG headline row.
# # Emits one TSV row per sample to stdout.
# set -euo pipefail
# 
# OLD=/home/tavis/.cache/ergodis/bin/bench_kernels-3c4dd0293
# NEW=/home/tavis/.cache/ergodis/bin/bench_kernels-c1053-cap64
# VARIANT=application:rdag:rust:21:3
# CPU=3
# ROUNDS=${ROUNDS:-11}
# 
# printf 'round\tprofile\treps\tarm\telapsed_ns\twork\tchecksum\tpeak_rss_kib\tinstructions\tcycles\tbranches\tbranch_misses\n'
# 
# sample() {
#   local round=$1 profile=$2 reps=$3 arm=$4 bin=$5
#   local perf_out json
#   perf_out=$(mktemp)
#   json=$(taskset -c "$CPU" choom -n 1000 -- \
#       perf stat -x, -o "$perf_out" -e instructions,cycles,branches,branch-misses \
#       "$bin" "$VARIANT" "$reps")
#   local elapsed work checksum rss ins cyc br bm
#   elapsed=$(sed 's/.*"elapsed_ns":\([0-9]*\).*/\1/' <<<"$json")
#   work=$(sed 's/.*"work":\([0-9]*\).*/\1/' <<<"$json")
#   checksum=$(sed 's/.*"checksum":\([0-9]*\).*/\1/' <<<"$json")
#   rss=$(sed 's/.*"peak_rss_kib":\([0-9]*\).*/\1/' <<<"$json")
#   ins=$(awk -F, '/instructions/ {print $1}' "$perf_out")
#   cyc=$(awk -F, '/cycles/ {print $1}' "$perf_out")
#   br=$(awk -F, '/,branches/ {print $1}' "$perf_out")
#   bm=$(awk -F, '/branch-misses/ {print $1}' "$perf_out")
#   rm -f "$perf_out"
#   printf '%s\t%s\t%s\t%s\t%s\t%s\t%s\t%s\t%s\t%s\t%s\t%s\n' \
#     "$round" "$profile" "$reps" "$arm" "$elapsed" "$work" "$checksum" "$rss" \
#     "$ins" "$cyc" "$br" "$bm"
# }
# 
# for round in $(seq 1 "$ROUNDS"); do
#   for spec in "cold 1" "warm_batch 8" "kernel 1024"; do
#     read -r profile reps <<<"$spec"
#     if (( round % 2 == 1 )); then
#       sample "$round" "$profile" "$reps" old "$OLD"
#       sample "$round" "$profile" "$reps" new "$NEW"
#     else
#       sample "$round" "$profile" "$reps" new "$NEW"
#       sample "$round" "$profile" "$reps" old "$OLD"
#     fi
#   done
# done
