round	shape	case	total_ns	compile_stream_ns	verify_ns	peak_kib	detail
6	full	frontier	254933730	93270637	161663093	13024	dag	frontier-certified	full	32	32768	496	1048576	32	141760	1048576	32	1048576	93270637	0	161663093	41618651	35977	41493787
6	full	full	488425592	308891780	179533812	12148	dag	full-certified	full	32	32768	496	1048576	32	141760	0	0	0	61884193	247007587	179533812	42667099	35977	42542491
7	chain	full	45914095	27702582	18211513	7308	dag	full-certified	chain	32	32768	31	1048576	32	132460	0	0	0	8061446	19641136	18211513	4632888	33281	4502612
7	chain	frontier	24292250	9707242	14585008	3620	dag	frontier-certified	chain	32	32768	31	1048576	32	132460	65536	2	65536	9707242	0	14585008	3584440	33281	3454164
7	window	full	112780409	70944039	41836370	7816	dag	full-certified	window	32	32768	118	1048576	32	134200	0	0	0	14707326	56236713	41836370	11748966	33716	11618910
7	window	frontier	57386735	22006822	35379913	4432	dag	frontier-certified	window	32	32768	118	1048576	32	134200	163840	5	163840	22006822	0	35379913	10700518	33716	10570462
7	full	full	485428418	305429921	179998497	11920	dag	full-certified	full	32	32768	496	1048576	32	141760	0	0	0	62754525	242675396	179998497	42667099	35977	42542491
7	full	frontier	252172287	92434770	159737517	13060	dag	frontier-certified	full	32	32768	496	1048576	32	141760	1048576	32	1048576	92434770	0	159737517	41618651	35977	41493787
8	chain	frontier	24199738	9384932	14814806	3672	dag	frontier-certified	chain	32	32768	31	1048576	32	132460	65536	2	65536	9384932	0	14814806	3584440	33281	3454164
8	chain	full	46289124	28095023	18194101	7420	dag	full-certified	chain	32	32768	31	1048576	32	132460	0	0	0	8466591	19628432	18194101	4632888	33281	4502612
8	window	frontier	57052744	21886999	35165745	4312	dag	frontier-certified	window	32	32768	118	1048576	32	134200	163840	5	163840	21886999	0	35165745	10700518	33716	10570462
8	window	full	110716413	68324699	42391714	7772	dag	full-certified	window	32	32768	118	1048576	32	134200	0	0	0	14812842	53511857	42391714	11748966	33716	11618910
8	full	frontier	251271418	92517173	158754245	13056	dag	frontier-certified	full	32	32768	496	1048576	32	141760	1048576	32	1048576	92517173	0	158754245	41618651	35977	41493787
8	full	full	488328579	308220689	180107890	12100	dag	full-certified	full	32	32768	496	1048576	32	141760	0	0	0	62350361	245870328	180107890	42667099	35977	42542491
9	chain	full	46259819	27742366	18517453	7472	dag	full-certified	chain	32	32768	31	1048576	32	132460	0	0	0	7990133	19752233	18517453	4632888	33281	4502612
9	chain	frontier	23918193	9137992	14780201	3476	dag	frontier-certified	chain	32	32768	31	1048576	32	132460	65536	2	65536	9137992	0	14780201	3584440	33281	3454164
9	window	full	112376455	69997064	42379391	7792	dag	full-certified	window	32	32768	118	1048576	32	134200	0	0	0	14650349	55346715	42379391	11748966	33716	11618910
9	window	frontier	55938387	20691162	35247225	4448	dag	frontier-certified	window	32	32768	118	1048576	32	134200	163840	5	163840	20691162	0	35247225	10700518	33716	10570462
9	full	full	484783304	311047524	173735780	12288	dag	full-certified	full	32	32768	496	1048576	32	141760	0	0	0	63459317	247588207	173735780	42667099	35977	42542491
9	full	frontier	250544384	91885437	158658947	12968	dag	frontier-certified	full	32	32768	496	1048576	32	141760	1048576	32	1048576	91885437	0	158658947	41618651	35977	41493787
