round,release_cycles,campaign_cycles,release_instructions,campaign_instructions,release_branches,campaign_branches,release_branch_misses,campaign_branch_misses,release_search_seconds,campaign_search_seconds,release_rss_kib,campaign_rss_kib
1,8220527269,7773175908,19214086884,20233633254,2713073299,3511772493,130631279,128569426,0.23295509800000003,0.229183905,8116,7720
2,8122100421,7839818086,19214011422,20233616501,2713052283,3511770165,130539599,128905168,0.230063112,0.21766532700000002,8344,8244
3,8017966811,7777046271,19214719070,20233828809,2713202209,3511819331,129634655,128965774,0.254003793,0.248379359,7552,7776
4,8059849428,7698170653,19213159487,20235228171,2712871326,3512126148,129860814,129087088,0.23450073700000001,0.22417173299999998,7568,7656
5,8085033251,7835867575,19213052500,20233507040,2712853674,3511745889,129725932,128831730,0.22981765499999998,0.231597902,7808,8132
6,8080284419,7697864794,19214412720,20232755411,2713141613,3511579808,130016446,128458465,0.254943783,0.24979494600000002,7736,7556
7,8190244392,7630602288,19213563046,20232419788,2712958365,3511507406,130892564,128599211,0.221998496,0.228975808,7736,7760
8,8188880161,7870554524,19214420668,20232658296,2713139360,3511557959,130831438,128871160,0.247378445,0.234173556,8096,7840
9,8104275948,7689075428,19213567472,20231910630,2712958649,3511394819,130582738,128628924,0.23487847,0.24925706399999997,8208,7964
