[Z3xZ3xZ3xZ5] |G|=135 |Aut|=44928  order=true j=22 par-ply=10 cap=700000000
  [  15s] nodes=18910 memo=15942 rss=64MB
  [2025s] nodes=2765330 memo=2616673 rss=137MB
  [2040s] nodes=2778689 memo=2630017 rss=137MB
  [2055s] nodes=2797241 memo=2648534 rss=137MB
  [2070s] nodes=2815618 memo=2666227 rss=137MB
  [2085s] nodes=2828295 memo=2678472 rss=137MB
  [2100s] nodes=2835577 memo=2685497 rss=137MB
  [2115s] nodes=2847635 memo=2697007 rss=137MB
  [2130s] nodes=2865995 memo=2713875 rss=137MB
  [2145s] nodes=2883824 memo=2730964 rss=137MB
  [2160s] nodes=2901782 memo=2748232 rss=137MB
  [2175s] nodes=2919470 memo=2765061 rss=137MB
  [2190s] nodes=2936710 memo=2781679 rss=137MB
  [2205s] nodes=2954344 memo=2798620 rss=137MB
  [2220s] nodes=2972597 memo=2816135 rss=137MB
  [2235s] nodes=2990829 memo=2832954 rss=137MB
  [2250s] nodes=3008767 memo=2849256 rss=137MB
  [2265s] nodes=3027107 memo=2866750 rss=137MB
  [2280s] nodes=3044947 memo=2883761 rss=142MB
  [2295s] nodes=3061487 memo=2899700 rss=154MB
  [2310s] nodes=3077670 memo=2915103 rss=171MB
  [2325s] nodes=3094077 memo=2930788 rss=193MB
  [2340s] nodes=3110964 memo=2946995 rss=208MB
  [2355s] nodes=3127397 memo=2962789 rss=208MB
  [2370s] nodes=3142375 memo=2977258 rss=208MB
  [2385s] nodes=3157615 memo=2991954 rss=212MB
  [2400s] nodes=3173086 memo=3006347 rss=217MB
  [2415s] nodes=3189608 memo=3022178 rss=222MB
  [2430s] nodes=3206987 memo=3038797 rss=224MB
  [2445s] nodes=3224662 memo=3055668 rss=225MB
  [2460s] nodes=3241518 memo=3071904 rss=225MB
  [2475s] nodes=3258408 memo=3087899 rss=225MB
  [2490s] nodes=3275175 memo=3103893 rss=225MB
  [2505s] nodes=3291911 memo=3119341 rss=225MB
  [2520s] nodes=3308766 memo=3134850 rss=225MB
  [2535s] nodes=3325341 memo=3149333 rss=225MB
  [2550s] nodes=3341110 memo=3163181 rss=225MB
  [2565s] nodes=3355888 memo=3176472 rss=225MB
  [2580s] nodes=3370284 memo=3189715 rss=213MB
  [2595s] nodes=3386578 memo=3205123 rss=213MB
  [2610s] nodes=3403564 memo=3221744 rss=213MB
  [2625s] nodes=3420594 memo=3238753 rss=213MB
  [2640s] nodes=3438318 memo=3256393 rss=213MB
  [2655s] nodes=3455458 memo=3273317 rss=213MB
  [2670s] nodes=3473934 memo=3290916 rss=213MB
  [2685s] nodes=3491186 memo=3306847 rss=213MB
  [2700s] nodes=3507374 memo=3321731 rss=213MB
  [2715s] nodes=3523290 memo=3337014 rss=213MB
  [2730s] nodes=3542659 memo=3355025 rss=213MB
  [2745s] nodes=3561669 memo=3372319 rss=213MB
  [2760s] nodes=3579126 memo=3388917 rss=213MB
  [2775s] nodes=3596063 memo=3405174 rss=213MB
  [2790s] nodes=3613713 memo=3421893 rss=213MB
  [2805s] nodes=3631611 memo=3438293 rss=213MB
  [2820s] nodes=3649479 memo=3454561 rss=213MB
  [2835s] nodes=3665736 memo=3469179 rss=213MB
  [2850s] nodes=3683075 memo=3485022 rss=213MB
  [2865s] nodes=3699331 memo=3500660 rss=213MB
  [2880s] nodes=3717008 memo=3517696 rss=213MB
  [2895s] nodes=3734070 memo=3534130 rss=213MB
  [2910s] nodes=3751384 memo=3551212 rss=213MB
