metric	baseline_median	candidate_median	baseline_over_candidate_geomean	paired_log_t	rounds
candidates	4268847189	3742874647	1.14052635784	inf	5
duration_ns	43867746252	41495507486	1.03901306777	1.4579747858	5
task_clock_ms	394261.8	409326.42	0.984722715389	-0.793068631817	5
cycles	1.34620075972e+12	1.3270075622e+12	1.01342361202	1.61873977901	5
instructions	2.33755429873e+12	2.06736418346e+12	1.13069363486	497631.447263	5
branches	327780078359	291241891680	1.12545728792	314345.877064	5
branch_misses	18557354756	21152404294	0.883693172777	-28.0052728402	5
cache_misses	67328667	28839785	1.27492628775	1.36422800052	5
