round	variant	seed	candidates	duration_ns	task_clock_ms	cycles	instructions	branches	branch_misses	cache_misses
0	baseline	none	4280955058	69987579824	524162.34	1673291186116	2313593570391	316647128504	18998421446	1080128285
0	candidate	2	3576297029	71579352965	519437.77	1570853411885	1976011070157	278167302118	21311493467	1160634578
1	candidate	2	3576297029	69470225006	515295.00	1563601423502	1976011671374	278167429917	21262674104	1105353126
1	baseline	none	4280955058	71372391229	540855.35	1666631976154	2313594618483	316647379815	18962847223	1052929831
2	baseline	none	4280955058	74736764195	560255.44	1666990779730	2313594353586	316647301864	19078153655	893526575
2	candidate	2	3576297029	61731336872	469312.54	1556816677069	1976010070960	278167062832	21454490225	780597921
