metric	baseline_median	candidate_median	baseline_over_candidate_geomean	paired_log_t	rounds
candidates	4280955058	3576297029	1.1970356554	inf	3
duration_ns	71372391229	69470225006	1.06740963654	1.01023639992	3
task_clock_ms	540855.35	515295	1.08133552585	1.54077652944	3
cycles	1.66699077973e+12	1.5636014235e+12	1.06728829463	39.7482737248	3
instructions	2.31359435359e+12	1.97601107016e+12	1.1708407767	606227.566379	3
branches	316647301864	278167302118	1.13833405276	305120.588325	3
branch_misses	18998421446	21311493467	0.890845682124	-126.866075981	3
cache_misses	1052929831	1105353126	1.00489210581	0.0745472006449	3
