mode	round	order	backend	threads	task_clock_ms	cycles	instructions	branches	branch_misses	output_sha256
one	11	1	parent	1	924.93	4403938047	12088723953	2233286862	13119706	06f4b589a61fac0ed1a2f64af8c4cda9f4e1aa53197db206c44830a4d7207e87
one	11	2	candidate	1	848.68	4030320403	11640515320	2252460882	13735086	06f4b589a61fac0ed1a2f64af8c4cda9f4e1aa53197db206c44830a4d7207e87
one	12	1	candidate	1	801.06	3791693048	11640515340	2252460875	13656477	06f4b589a61fac0ed1a2f64af8c4cda9f4e1aa53197db206c44830a4d7207e87
one	12	2	parent	1	937.34	4453491391	12088724149	2233286939	13091558	06f4b589a61fac0ed1a2f64af8c4cda9f4e1aa53197db206c44830a4d7207e87
one	13	1	parent	1	929.61	4414070128	12088724244	2233286948	13113088	06f4b589a61fac0ed1a2f64af8c4cda9f4e1aa53197db206c44830a4d7207e87
one	13	2	candidate	1	859.42	4102631695	11640515285	2252460919	13549306	06f4b589a61fac0ed1a2f64af8c4cda9f4e1aa53197db206c44830a4d7207e87
one	14	1	candidate	1	882.54	4220522556	11640515865	2252461139	13519378	06f4b589a61fac0ed1a2f64af8c4cda9f4e1aa53197db206c44830a4d7207e87
one	14	2	parent	1	818.82	3901862348	12088724938	2233287169	13145628	06f4b589a61fac0ed1a2f64af8c4cda9f4e1aa53197db206c44830a4d7207e87
one	15	1	parent	1	812.86	3897358283	12088724092	2233286817	13063702	06f4b589a61fac0ed1a2f64af8c4cda9f4e1aa53197db206c44830a4d7207e87
one	15	2	candidate	1	851.60	4035415331	11640515773	2252461199	13439882	06f4b589a61fac0ed1a2f64af8c4cda9f4e1aa53197db206c44830a4d7207e87
