metric	baseline_median	candidate_median	baseline_over_candidate_geomean	paired_log_t	rounds
candidates	109046916	109046916	1	inf	9
duration_ns	6067157092	6017926616	1.00790568476	3.70173349197	9
task_clock_ms	6062.93	6015.89	1.00746469335	3.3471133682	9
cycles	29459992060	29303106739	1.00618424565	4.01677870132	9
instructions	58214525476	58214758293	0.999995994067	-107.935472463	9
branches	7264903286	7264916890	0.999998210884	-18.7055934023	9
branch_misses	424743752	439827380	0.965307056862	-18.5448916027	9
cache_misses	1406571	1346653	1.05510329884	1.67952240893	9
