round	variant	seed	candidates	duration_ns	task_clock_ms	cycles	instructions	branches	branch_misses	cache_misses
0	baseline	none	109046916	4331235110	40278.30	151534521467	267040991402	36385369161	2093632092	18881046
0	candidate	none	109046916	4408702525	40460.07	148247204384	267041409459	36385342434	2058724291	20495480
1	candidate	none	109046916	4330262152	40344.03	146696472514	267031917728	36383320414	2046130073	19488523
1	baseline	none	109046916	4441764648	40521.85	147474342683	267035913852	36384269820	2060542554	20291291
2	baseline	none	109046916	4421504032	40414.89	147645909473	267036935246	36384503392	2067874586	19451767
2	candidate	none	109046916	4432807724	40504.14	146070608571	267035017618	36383989050	2042823271	20112113
3	candidate	none	109046916	4406460286	40737.43	147795332293	267041403603	36385419233	2054341158	19766214
3	baseline	none	109046916	4560074420	41687.44	151508075032	267036683811	36384444267	2090951545	18978682
4	baseline	none	109046916	4482477409	41621.97	153512560330	267041275108	36385421569	2103713361	19008854
4	candidate	none	109046916	4411152927	41334.57	151046606474	267043014545	36385686947	2075133939	18580217
5	candidate	none	109046916	4451912970	41240.51	149956522747	267038562266	36384742633	2071491435	18708584
5	baseline	none	109046916	4531265624	41525.90	151291816936	267039344517	36384938115	2089677818	19339672
6	baseline	none	109046916	4579136455	41996.07	152260269133	267040374151	36385238655	2098427912	19277213
6	candidate	none	109046916	4524637149	41492.42	148190397695	267038700719	36384767273	2058047331	19009313
